port_country_iso3,vessel_class,year,emissions_co2_mt,n_unique_port_vists
MEX,trollers,2024,1.083604829895679,1
MAF,trollers,2024,21.53709760712675,21
ZAF,trollers,2024,49.72685244219492,6
NOR,other_purse_seines,2017,4061.1986641821063,133
SJM,other_seines,2023,8.68874762490479,2
DNK,fish_factory,2023,456.00149541162403,72
NOR,other_purse_seines,2022,9355.456967106105,156
CAN,trollers,2019,8162.94276754421,1161
DEU,other_seines,2021,34.066512399545644,8
RUS,fish_factory,2022,5278.9049505430485,80
LKA,trollers,2019,0.8977199707264828,2
USA,other_purse_seines,2023,7177.345769495161,677
ESP,trollers,2019,95.00925904070213,123
DNK,fish_factory,2024,510.47541843689385,77
CHN,trollers,2018,10.23633967655775,24
FRA,other_purse_seines,2018,1.493411650196038,4
DEU,other_seines,2019,13.631293862121762,4
ASM,trollers,2020,20.11741139751158,3
CAN,trollers,2022,11621.483019919371,1367
ATA,fish_factory,2024,39.113354800592546,5
KOR,fish_factory,2019,233.6224358759611,12
FRA,other_purse_seines,2019,0.910787005383132,4
VIR,trollers,2020,0.13724870703377942,1
AUS,trollers,2020,15.059790831470098,7
MSR,trollers,2019,1.2675584361264103,1
LCA,other_seines,2023,5.7882715496501085,2
NOR,other_purse_seines,2018,9364.708655827853,106
CHN,fish_factory,2019,412.2801382252549,7
USA,trollers,2024,17615.132090120856,1985
NOR,other_seines,2019,55727.97990519021,9210
MEX,trollers,2017,25.15205138940519,71
CAN,trollers,2023,10184.400780007909,1148
SGS,fish_factory,2020,34.7906710133941,4
CAN,trollers,2024,11641.974457905475,1023
DNK,other_purse_seines,2019,302.5457247309578,7
MEX,trollers,2020,5.892357147882701,2
SJM,other_seines,2017,1.3303642344418891,1
IND,fish_factory,2020,6.55665727504448,1
IND,fish_factory,2022,17.090427025049745,2
IND,fish_factory,2024,82.56806518969849,6
GBR,driftnets,2024,0.03321570058381933,2
MAC,bunker_or_tanker,2023,3324.066864721803,1
PRT,other_seines,2021,0.006600559479495,1
BRA,trollers,2021,1.1495030260290557,1
CHN,trollers,2021,1.7757336394804735,4
CHN,reefer,2020,54186.23241438818,740
FRA,other_seines,2019,1890.6196982057454,79
DEU,other_seines,2018,44.11479566871997,1
GBR,other_purse_seines,2017,6.6486893158423,1
RUS,fish_factory,2019,4360.11547604255,102
ESH,fish_factory,2020,66.16779389616616,2
CHN,reefer,2022,35539.774735700215,449
ISL,other_purse_seines,2023,257.42689347450636,5
GBR,fish_factory,2019,3.272910124157886,2
CHN,fish_factory,2024,9.034606171220664,1
CHN,bunker_or_tanker,2023,218.79186327120894,10
CPV,other_seines,2024,22.608950373732174,2
CHN,bunker_or_tanker,2018,841.3108605772569,141
ESP,other_purse_seines,2018,1051.8487019322274,1860
PRT,other_purse_seines,2023,406.1049201697424,442
CHN,reefer,2019,48398.78779750229,726
NOR,other_purse_seines,2023,10857.526164104147,118
MAF,trollers,2023,14.788721098709964,20
FRA,trollers,2022,278.8899824640275,199
DNK,other_seines,2023,1481.9548431906921,207
NOR,trollers,2022,542.5659967154861,129
CHN,reefer,2024,121391.44648080377,1031
SWE,trollers,2023,929.6530984424132,110
ISL,other_seines,2017,5164.126215201533,871
JPN,driftnets,2020,207.90524505812482,27
ISL,other_purse_seines,2022,587.6392605608125,10
ESP,trollers,2023,190.56696841051226,264
ASM,trollers,2018,12.543532386462264,1
JPN,driftnets,2021,127.67719980068047,31
JPN,reefer,2018,19.645403774056657,1
RUS,other_seines,2020,517.5470828017955,86
WSM,trollers,2020,1.3875181870620137,1
NLD,other_seines,2023,366.0624650583523,17
BEL,other_seines,2022,768.2591113349071,44
SWE,trollers,2022,131.87867941449838,47
FRA,other_seines,2018,1794.1660404200852,4
GBR,other_purse_seines,2024,22.622089098335447,6
CHN,driftnets,2021,2439.417775357695,6
ISL,other_purse_seines,2024,39.05311662570192,2
NLD,trollers,2023,26.94096112242848,1
ESP,other_seines,2022,1.0104765011648444,1
PYF,trollers,2021,7.430900016935952,2
BEL,other_seines,2020,68.73364007156967,5
SWE,trollers,2020,185.80635799494675,68
NLD,other_seines,2022,335.09604063969886,22
KOR,reefer,2019,6.490399973419431,1
MNE,fish_factory,2023,373.9443531048945,3
SGS,fish_factory,2019,9.570397162395789,1
GLP,trollers,2024,2.050405061886004,3
ESP,other_seines,2018,2.557295095893123,3
NOR,other_seines,2017,48597.70382461398,8419
ESH,fish_factory,2019,139.33724032002243,8
ATA,fish_factory,2023,8.966535157957882,2
CHN,driftnets,2023,0.09605163106604504,1
CHN,driftnets,2022,160.80976031777857,2
DNK,other_purse_seines,2018,274.99098012587456,5
MAR,other_purse_seines,2017,0.1340643103738645,1
SWE,trollers,2024,1534.6979503781308,153
NOR,fish_factory,2023,264.44116158908264,50
ITA,other_seines,2020,0.21851959579887517,1
KOR,fish_factory,2018,124.72015222160205,11
SGS,fish_factory,2023,18.89598448946604,3
MEX,trollers,2023,23.937458586691307,5
TCA,trollers,2019,0.7906364775655446,1
ESP,other_seines,2017,10.632219628429846,4
ARE,other_seines,2022,13.973386259729972,4
PYF,trollers,2018,10.222492529986567,1
PRT,other_purse_seines,2019,263.6621267127136,245
FRA,trollers,2024,77.39675114190676,83
CHN,bunker_or_tanker,2024,58.813540262202935,8
BES,trollers,2020,0.7484061061705353,1
CHN,fish_factory,2017,294.762835217619,6
FRO,other_purse_seines,2019,25.62964985753755,2
ESP,trollers,2021,90.35309771502276,120
SGS,fish_factory,2018,1.3283527069068612,1
NLD,other_seines,2020,892.2742848354189,31
FRA,other_purse_seines,2023,0.11431591542911963,1
PRT,other_purse_seines,2022,390.55085641055126,379
DNK,trollers,2022,231.19773204686354,180
NOR,trollers,2023,381.7063018154395,122
NOR,other_seines,2023,71135.02343736935,9081
CAN,trollers,2018,6740.603672307568,1111
ESP,other_purse_seines,2021,1359.2391878577996,2369
USA,other_purse_seines,2019,6761.16885508188,501
ISL,other_seines,2024,5330.690614969841,760
DNK,fish_factory,2021,510.4985088447842,81
RUS,other_seines,2023,1100.5280064042638,33
NOR,fish_factory,2022,201.67835637260953,49
NLD,other_seines,2024,439.68944548312504,25
FRA,other_seines,2024,612.4343094311057,113
RUS,other_seines,2021,1463.1713328395497,83
CHN,bunker_or_tanker,2019,1335.3486391384295,81
RUS,other_seines,2019,263.1021530429169,43
CHN,reefer,2021,68943.03205805527,640
DNK,fish_factory,2022,479.54242095456016,77
VCT,trollers,2019,3.8368703025532027,2
GBR,other_seines,2019,906.5184341639136,140
SWE,other_seines,2021,61.153363157009046,14
NZL,trollers,2021,15.771868158015831,8
SWE,other_seines,2018,9.876000312157553,9
EGY,fish_factory,2022,5.43140923973109,1
KOR,fish_factory,2023,416.44594462256475,9
JPN,fish_factory,2023,75.12786449875357,5
ESP,other_seines,2024,8.757992097128746,2
NOR,fish_factory,2020,104.03483125074692,30
GRD,trollers,2019,11.019805602900172,3
OMN,fish_factory,2023,201.18574839219053,8
KOR,fish_factory,2017,76.85033090259091,7
SJM,other_seines,2020,2.6725568221764147,2
URY,fish_factory,2021,7.056864877932432,1
BRA,other_seines,2023,83.50037301710445,20
NOR,other_seines,2021,59606.726362784786,10482
NZL,trollers,2018,0.06642060380239911,2
MAF,trollers,2021,0.4855490100398782,2
NOR,fish_factory,2021,149.75148455544544,44
FRA,other_seines,2017,324.40858880475776,2
NLD,other_seines,2021,623.1123069904651,48
GBR,driftnets,2021,1.3081306545165485,6
JPN,driftnets,2018,151.65590033867227,32
PYF,trollers,2020,4.1643291574947945,1
GBR,other_seines,2023,2009.7008739339112,211
TWN,reefer,2023,0.5476158699645713,1
JPN,fish_factory,2020,47.64958959593979,2
IND,trollers,2019,0.7793312206220541,1
CHN,fish_factory,2018,120.55260414188324,3
ESP,fish_factory,2021,125.77208587989969,1
USA,trollers,2021,17178.72010660181,1953
FRA,fish_factory,2023,8.305592389547357,2
NOR,fish_factory,2018,37.865483806802914,2
ATG,other_seines,2019,0.8262189968575085,3
DNK,other_seines,2024,1325.0944441897518,203
ISL,other_seines,2023,6520.538636737606,597
RUS,fish_factory,2023,5793.842707752384,106
CAN,fish_factory,2023,14.959808148203393,6
PRT,other_purse_seines,2020,234.0477433752728,248
ESP,trollers,2018,567.3334716141178,144
NOR,trollers,2017,190.60574277475123,141
DNK,other_seines,2019,944.7289137412853,210
SWE,trollers,2018,224.18912459124888,81
SGS,fish_factory,2017,3.1599984460468744,1
GBR,other_purse_seines,2018,193.27661164779892,12
ESP,fish_factory,2017,922.5456220143192,35
GIN,fish_factory,2023,2028.6912233425792,71
ESP,fish_factory,2022,2201.1051742648883,1
CAN,fish_factory,2022,14.569137976896458,16
PAN,fish_factory,2018,20.203659229435264,1
NZL,trollers,2020,6.066271644166001,15
PRI,trollers,2019,5.100031601700324,1
JPN,driftnets,2024,74.15527590683048,30
GBR,fish_factory,2020,4.095280740591268,1
PYF,trollers,2022,6.414209129938187,1
MTQ,trollers,2019,0.10713836294716879,1
JPN,fish_factory,2022,109.21051962950601,4
SEN,other_seines,2017,150.96326148466812,5
URY,fish_factory,2018,170.189042833651,2
PRT,other_purse_seines,2021,289.7209683381671,249
USA,fish_factory,2021,3238.7087292582355,29
FRA,other_purse_seines,2024,1.041554236611695,2
ATA,fish_factory,2020,6.546877897682959,1
DNK,fish_factory,2020,602.7980528744836,76
CHN,fish_factory,2023,627.8093997376326,11
GBR,other_purse_seines,2019,17.15845278542158,2
ZAF,fish_factory,2024,365.76743553235264,1
JPN,fish_factory,2017,34.2238470515441,3
RUS,fish_factory,2024,6271.582078381354,76
URY,fish_factory,2022,260.7971120868468,3
JPN,trollers,2024,552.7564659963118,35
CAN,fish_factory,2021,27.558141638174295,12
GBR,other_seines,2020,1227.3870970061873,136
USA,fish_factory,2020,4557.111942603375,30
SWE,other_seines,2017,10.346610955472825,9
ESP,other_seines,2019,3.268193592634856,1
POL,other_seines,2021,88.90288348960104,2
DNK,trollers,2017,216.67865498371918,258
CAN,fish_factory,2019,25.27679945815744,14
SGS,fish_factory,2021,3.711025946767047,2
GBR,driftnets,2022,0.5706876295531821,4
DEU,other_seines,2020,2.8701853578999814,1
ATA,fish_factory,2021,29.91226738844277,4
CHN,other_seines,2022,32.74018742321247,3
USA,trollers,2023,19057.99403610917,2126
GIB,other_purse_seines,2017,0.25486271042594566,1
SWE,other_seines,2020,21.703309116178033,13
CPV,other_seines,2018,1.0787147678239135,1
CHN,bunker_or_tanker,2022,41.67110606947203,6
PHL,other_seines,2022,0.47433824719310885,1
RUS,fish_factory,2021,5160.623737567272,96
CHN,fish_factory,2022,347.9981572542742,8
SYC,other_seines,2024,6.563055304761547,1
MTQ,trollers,2024,1.20394500447004,2
BRA,other_seines,2024,85.11625426093029,17
CHN,reefer,2023,88099.50338869555,744
CHN,reefer,2017,17383.082195361763,822
RUS,fish_factory,2017,2077.356328723537,60
PYF,trollers,2023,15.662174063136701,4
JPN,driftnets,2023,244.84817265046976,29
ESP,other_seines,2023,7.950744206649261,4
NAM,other_seines,2024,39.600864925715975,2
AUS,bunker,2017,17686.1950113406,458
CHN,bunker,2018,838306.9754093711,25192
GAB,bunker,2023,178.9219767911122,38
COL,bunker,2021,1336.6304933384238,153
ESP,bunker,2023,25732.30938234073,247
TWN,bunker,2022,22003.883221024633,290
ARE,bunker,2019,37293.73230538181,552
MYS,bunker,2023,39255.95584712877,480
RUS,bunker,2023,105699.28513521861,1289
ITA,bunker,2022,49429.329532335476,465
MEX,bunker,2021,2484.7485091358617,3
ITA,bunker,2023,60964.697231326434,584
MAC,bunker,2023,8143.3632159112185,96
DEU,bunker,2019,9633.207850678362,385
MDG,bunker,2019,2443.5250492506893,260
ARE,bunker,2020,14160.493259097399,207
NZL,bunker,2021,1833.5882732758982,130
BHR,bunker,2023,13996.983601588363,362
DEU,bunker,2018,13617.234489152619,570
MYS,bunker,2018,20948.053013042165,631
IRN,bunker,2021,9714.506683468657,229
DEU,bunker,2022,21803.95055333739,337
FIN,bunker,2017,1093.5528674040202,40
MLT,bunker,2023,7372.603830574685,363
ZAF,bunker,2022,8872.09479582572,118
MDG,bunker,2020,549.0150874062892,43
IND,bunker,2021,2857.4316923063866,33
CAN,bunker,2021,7658.640183504157,86
MOZ,bunker,2019,7800.811000008023,106
PHL,bunker,2020,5560.1161082463195,103
ITA,bunker,2020,52404.133064192385,455
USA,bunker,2024,17303.52692850802,108
ESH,bunker,2017,2174.7200583021354,33
CAN,bunker,2018,6079.819623268483,100
KHM,bunker,2017,32.63107704217479,27
THA,bunker,2020,1279.1793295034358,64
PHL,bunker,2022,7101.145994662248,182
NAM,bunker,2017,2904.0500589613903,35
UKR,bunker,2021,1009.600540503729,124
KIR,bunker,2021,557.8927271339959,14
NAM,bunker,2021,6269.1525297207645,67
SEN,bunker,2018,949.2082295731063,5
BRA,bunker,2017,2180.1071031929087,15
FRA,bunker,2018,2949.450411937955,113
USA,bunker,2020,3835.9044510418744,65
CUW,bunker,2017,1097.257021896964,20
THA,bunker,2017,166.44205053837155,10
MAR,bunker,2021,6023.356478592457,197
SLE,bunker,2024,5240.136386605602,56
GMB,bunker,2022,545.9879796203181,14
GEO,bunker,2018,417.3213558239867,5
QAT,bunker,2020,3538.617252540879,22
FJI,bunker,2023,324.244876290329,16
BLZ,bunker,2017,133.7569358944568,2
NCL,bunker,2019,113.04390698992863,1
SUR,bunker,2018,29.15326755297321,9
NZL,bunker,2020,893.0603537775884,77
OMN,bunker,2024,8040.20164049535,61
FRO,bunker,2018,149.4927069329325,9
GNB,bunker,2020,184.25251354024232,17
LVA,bunker,2017,1927.7484272990375,24
MMR,bunker,2022,1594.6512526120705,115
KWT,bunker,2018,793.286670195633,11
MRT,bunker,2022,7362.295600022061,31
POL,bunker,2018,5211.043422842753,34
OMN,bunker,2021,3934.5046566631722,6
FLK,bunker,2017,246.98471221486784,11
TGO,bunker,2024,2022.4782693568395,17
CRI,bunker,2017,399.62479908789237,4
GUY,bunker,2022,1204.2525692737165,37
VEN,bunker,2022,2904.6796031659287,31
CUW,bunker,2024,64.92876978464147,1
SAU,bunker,2022,4939.635230401545,140
MAR,bunker,2019,1895.4669040453505,79
ATG,bunker,2023,232.42131780038687,11
BES,bunker,2021,3529.107206810844,48
