year,vessel_class,emissions_co2_mt
2018,cargo.refrigerated,1084239.9500828027
2019,well_boat,354403.0000341041
2017,cargo.refrigerated,1135463.367420896
2021,reefer,79635.30800599749
2017,other_purse_seines,47255.62337468372
2018,other_purse_seines,51588.19437829616
2022,reefer,113165.40348976165
2017,fish_factory,54685.24066517364
2018,driftnets,999.4161333757836
2023,bunker_or_tanker,8062.439823811996
2020,bunker_or_tanker,9442.083019299887
2017,driftnets,1071.3642461582292
2017,trawlers,20516724.36159961
2017,other_not_fishing,1407637.446859451
2017,cargo.container,147743675.43019012
2018,tug,12960577.885417467
2018,trawlers,22062625.486395895
2018,pots_and_traps,695417.0358669546
2019,tanker.chemical_oil,201591166.47171178
2020,passenger,144122830.67476013
2020,cargo.general,70624481.79692186
2020,cargo.ro_ro,36199575.31085709
2021,other_fishing,4258051.111770847
2022,other_fishing,7144189.160846233
2022,cargo.bulk_carrier,160155440.40268275
2023,passenger,200980784.8814619
2023,cargo.general,71748846.58984946
2017,tug,12039884.474378165
2018,bunker,5697660.397850191
2021,cargo.bulk_carrier,156770178.58979335
2021,dive_vessel,872180.2865999803
2017,pots_and_traps,648354.5058157359
2017,tanker.liquefied_gas,42630559.977466844
2017,patrol_vessel,2195262.362915976
2017,set_longlines,669174.2875193501
2018,set_gillnets,693358.9030933927
2018,cargo.container,153421889.87394425
2021,supply_vessel,6402558.678508775
2024,tanker.chemical_oil,240047643.7314316
2017,bunker,5367899.682668636
2018,patrol_vessel,2394596.0243504695
2018,squid_jigger,1241593.7673632826
2019,drifting_longlines,3049249.2276031864
2023,cargo.refrigerated,1317661.358631795
2019,seismic_vessel,2342120.8115435946
2022,supply_vessel,6978229.525654073
2023,cargo.ro_ro,41927264.566801935
2024,drifting_longlines,3820624.1131522176
2018,set_longlines,726757.9671609062
2018,tanker.liquefied_gas,47559643.276894614
2020,cargo.refrigerated,1208669.4769159069
2022,dredge_non_fishing,3723415.1513365773
2017,set_gillnets,592649.0928984224
2018,other_not_fishing,1616308.6527955248
2024,specialized_reefer,7313699.805359641
2024,seismic_vessel,2776295.0961223706
2021,dredge_non_fishing,3444637.6380264633
2021,tuna_purse_seines,1880294.7360099184
2019,dredge_fishing,228653.70571294343
2018,pole_and_line,354547.1656503844
2019,specialized_reefer,6205841.787370744
2017,squid_jigger,1084705.573274582
2022,dive_vessel,911304.4760061505
2024,dredge_fishing,249166.72370553482
2024,reefer,289423.1533886189
2020,tanker.other,268142.2745720474
2022,tuna_purse_seines,1756803.9309681733
2017,pole_and_line,327859.78489541425
2023,trollers,49718.2070516877
2024,research,306239.4079241197
2020,trollers,43969.46210896867
2018,other_seines,122938.13206344703
2019,research,308653.49929731485
2017,well_boat,303356.42700245674
2020,fish_factory,58248.19249622288
2020,container_reefer,3888639.138827674
2023,container_reefer,3955225.6381663815
2018,well_boat,319433.4975309044
2019,reefer,79388.91294170175
2023,tanker.other,288339.1584631239
2020,other_purse_seines,54528.43529384754
2017,other_seines,122536.36209943339
2023,other_purse_seines,55584.974623131915
2023,fish_factory,52886.5997308725
2021,bunker_or_tanker,6854.919993554392
2020,driftnets,2128.912032561915
2023,driftnets,2831.345020180609
2022,bunker_or_tanker,1399.280556291333
2019,cargo.bulk_carrier,141165172.88520324
2019,other_fishing,4058947.2551995516
2020,trawlers,24263964.610831235
2020,tug,13932970.5936142
2020,bunker,7591462.1880000085
2020,pots_and_traps,807505.7043386614
2021,passenger,167240621.58057934
2021,cargo.general,71685017.15423705
2021,cargo.ro_ro,40953029.40315527
2022,passenger,197219366.37858763
2022,cargo.general,68906857.01733534
2023,trawlers,44931873.8055432
2023,patrol_vessel,3496549.5877308063
2023,set_longlines,909352.8580447019
2023,tug,17268521.10537784
2023,bunker,10814786.43540399
2017,tanker.chemical_oil,193692326.27554917
2019,supply_vessel,6388046.079614332
2020,squid_jigger,1736290.8994890205
2020,cargo.container,146414899.44990504
2022,cargo.ro_ro,42768271.09030351
2023,cargo.container,171870927.41295484
2017,drifting_longlines,2594353.505123159
2018,tanker.chemical_oil,195899180.63707843
2023,set_gillnets,999068.0697015593
2024,cargo.bulk_carrier,169353455.84740213
2024,other_fishing,12951007.523033423
2024,supply_vessel,7578617.777313616
2024,dredge_non_fishing,4124723.3681968637
2020,patrol_vessel,2618135.0816906085
2023,other_not_fishing,2520454.963593193
2018,drifting_longlines,2927208.3139645047
2020,well_boat,367528.5498366885
2020,set_gillnets,704043.349837699
2017,seismic_vessel,2169314.719666452
2018,research,297548.2930206512
2023,pots_and_traps,812621.3044802941
2024,dive_vessel,931185.5076159369
2020,other_not_fishing,1680322.9429969508
2021,tanker.other,273531.87449614657
2023,tanker.liquefied_gas,68524999.82546969
2024,tuna_purse_seines,1817801.0181633458
2019,dredge_non_fishing,2933778.065876037
2018,dredge_fishing,221775.25430114512
2023,squid_jigger,2294845.89710699
2017,research,283726.5150801266
2019,tuna_purse_seines,1960798.339925393
2022,cargo.refrigerated,1242707.7309436407
2023,well_boat,412549.94651949435
2023,other_seines,149668.4482718368
2017,specialized_reefer,6847582.2553387545
2020,tanker.liquefied_gas,56818953.328359656
2020,set_longlines,823330.9334291341
2018,seismic_vessel,2221232.663617783
2020,pole_and_line,436582.1746107626
2018,specialized_reefer,6637232.527028254
2020,other_seines,136115.6862440915
2019,dive_vessel,867136.3616235768
2021,trollers,47587.95480108298
2022,trollers,47891.36911738075
2022,fish_factory,51496.70343459195
2023,pole_and_line,447716.6951329051
2017,dredge_fishing,222833.8891857879
2021,other_purse_seines,48944.51205352656
2017,reefer,41683.65116919763
2021,container_reefer,4038862.028387972
2018,reefer,65417.58519468294
2022,container_reefer,4164822.7073854934
2021,cargo.refrigerated,1245193.1188010587
2022,other_purse_seines,54113.820105042265
2021,fish_factory,58180.60288949062
2022,tanker.other,272279.79900213104
2024,bunker_or_tanker,14964.527159050678
2021,driftnets,2597.9484046845623
2019,bunker_or_tanker,7076.574081135059
2022,driftnets,3100.196789294711
