time,fishing,inside_footprint,s1_imaged,emissions_co2_mt,emissions_co2_dark_mt
2022-07-01,TRUE,TRUE,FALSE,191544.2524394508,358819.39668000006
2022-03-01,TRUE,TRUE,TRUE,2706472.3966841092,2212852.58194
2022-07-01,FALSE,TRUE,TRUE,69363106.00758436,23648673.154919997
2020-01-01,FALSE,TRUE,FALSE,541544.2826044132,544513.43806
2022-01-01,FALSE,TRUE,FALSE,1680209.9620314983,964493.0557300001
2017-04-01,FALSE,TRUE,FALSE,311456.39534777973,555408.1074699999
2021-11-01,FALSE,TRUE,FALSE,424323.45785233984,316703.30678
2018-12-01,FALSE,TRUE,FALSE,512669.6051398375,521600.18239
2017-05-01,FALSE,TRUE,FALSE,429823.57756324456,610670.0107100001
2017-01-01,TRUE,TRUE,FALSE,48312.62964435194,97362.63584999999
2025-01-01,TRUE,TRUE,FALSE,710344.8179077833,531352.86295
2021-12-01,TRUE,TRUE,FALSE,526616.7818615782,472020.63684000005
2022-12-01,TRUE,TRUE,FALSE,540298.0071737026,558239.28107
2023-07-01,TRUE,TRUE,FALSE,157074.13298470815,310497.52548999997
2020-08-01,TRUE,TRUE,FALSE,60287.88805903953,36159.04987999999
2025-02-01,TRUE,TRUE,FALSE,558133.0731818049,491844.91172
2023-08-01,FALSE,TRUE,FALSE,786884.472167513,641044.7675900002
2022-11-01,FALSE,TRUE,FALSE,855920.6314783324,659056.7194299999
2022-06-01,FALSE,TRUE,FALSE,1104299.6781977834,764928.8938300001
2017-07-01,TRUE,TRUE,FALSE,13152.487130167057,37639.75602000001
2019-10-01,FALSE,TRUE,FALSE,468690.38995687675,456142.37478
2019-11-01,TRUE,TRUE,FALSE,19290.403647784344,27005.234559999994
2024-07-01,FALSE,TRUE,FALSE,1966905.1626276036,913008.7171299999
2025-06-01,TRUE,TRUE,FALSE,207134.24139884714,355557.76395
2019-08-01,TRUE,TRUE,FALSE,21464.871956823332,30997.712880000006
2024-04-01,FALSE,TRUE,FALSE,825712.3963855598,665102.4543900001
2021-02-01,FALSE,TRUE,FALSE,576225.4298309021,674592.7819000001
2019-03-01,TRUE,TRUE,FALSE,19562.290150418776,32924.17456
2017-06-01,TRUE,TRUE,FALSE,8027.302059772335,33016.12937
2018-08-01,FALSE,TRUE,FALSE,434470.6111046173,475615.81007999997
2020-04-01,TRUE,TRUE,FALSE,51102.327028540036,52797.12262
2025-10-01,TRUE,TRUE,FALSE,663490.0447724396,661930.9132400001
2020-03-01,FALSE,TRUE,FALSE,492833.5134540716,599674.8716599998
2025-04-01,FALSE,TRUE,FALSE,733464.7087450271,597912.4722
2019-04-01,FALSE,TRUE,FALSE,721175.4872985659,714975.18237
2022-09-01,FALSE,TRUE,FALSE,725813.2982590096,579052.42281
2017-09-01,FALSE,TRUE,FALSE,379145.3818780192,447203.89929999993
2020-06-01,FALSE,TRUE,FALSE,554540.932630761,696480.8778499999
2017-10-01,FALSE,TRUE,FALSE,313502.2906205575,450350.63097999996
2024-09-01,FALSE,TRUE,FALSE,788180.83086787,603146.90933
2018-03-01,FALSE,TRUE,FALSE,351483.25565435406,631352.53686
2020-07-01,FALSE,TRUE,FALSE,522281.6221421074,616223.0491299998
2021-10-01,FALSE,TRUE,FALSE,486099.74121895747,555782.4297699999
2019-09-01,TRUE,TRUE,FALSE,26831.5218131518,20809.41405
2020-01-01,FALSE,FALSE,FALSE,14258698.936161274,15259.588979999999
2020-03-01,FALSE,FALSE,FALSE,13838911.812787738,8388.631870000001
2017-05-01,FALSE,FALSE,FALSE,14915004.819516417,1126.72635
2017-01-01,TRUE,FALSE,FALSE,448034.33411605185,2841.9847899999995
2024-02-01,TRUE,FALSE,FALSE,518822.12860877614,3769.3631
2022-01-01,FALSE,FALSE,FALSE,17299162.066310003,40804.59609
2025-03-01,TRUE,TRUE,TRUE,4395913.752341812,2351139.045910001
2021-02-01,FALSE,FALSE,FALSE,13561120.556621065,15027.38364
2017-12-01,TRUE,FALSE,FALSE,397830.9728876497,2609.5605200000005
2025-04-01,FALSE,FALSE,FALSE,21026808.522977166,0
2018-12-01,FALSE,FALSE,FALSE,15104393.927077115,10956.45003
2025-02-01,TRUE,FALSE,FALSE,487212.1041910232,2735.51134
2022-12-01,TRUE,FALSE,FALSE,502706.7373007886,2982.71085
2025-01-01,TRUE,FALSE,FALSE,504058.50125047617,1292.0312100000003
2021-12-01,TRUE,FALSE,FALSE,423003.62967939704,2164.01575
2018-03-01,FALSE,FALSE,FALSE,14498575.723459188,4567.70061
2024-07-01,FALSE,FALSE,FALSE,20625012.580109544,654.08316
2024-01-01,TRUE,FALSE,FALSE,530146.4776905254,2070.74021
2017-04-01,FALSE,FALSE,FALSE,14434750.78598912,1788.5622799999999
2022-11-01,FALSE,FALSE,FALSE,18551909.428473044,29011.53907
2020-04-01,TRUE,FALSE,FALSE,480446.6496143201,1016.17705
2019-03-01,TRUE,FALSE,FALSE,448035.7859227337,4683.319910000001
2023-03-01,TRUE,FALSE,FALSE,596625.6591881247,3617.35819
2024-05-01,FALSE,FALSE,FALSE,20576680.460588943,12090.05858
2022-04-01,TRUE,FALSE,FALSE,542791.3155113353,2928.5143
2024-04-01,FALSE,FALSE,FALSE,20136276.485634618,1766.10673
2021-03-01,TRUE,FALSE,FALSE,461247.0224942269,4474.342999999999
2019-01-01,TRUE,TRUE,TRUE,2060324.9106228754,1683656.7719200007
2017-09-01,FALSE,FALSE,FALSE,14432546.127989255,1601.5613600000001
2022-06-01,FALSE,FALSE,FALSE,16333426.070832638,7104.609640000001
2019-11-01,TRUE,FALSE,FALSE,423090.71642502863,1303.9354999999998
2019-04-01,FALSE,FALSE,FALSE,14558974.818142176,1382.9373500000002
2024-11-01,TRUE,FALSE,FALSE,559720.0180599379,2730.15728
2019-07-01,TRUE,TRUE,TRUE,1892614.9140529712,1722446.5596399992
2021-11-01,FALSE,FALSE,FALSE,13625360.015916185,19738.747069999998
2024-09-01,FALSE,FALSE,FALSE,20243442.21887171,1750.81231
2017-06-01,TRUE,FALSE,FALSE,440778.1926117621,2434.66521
2018-06-01,TRUE,FALSE,FALSE,480350.1218263465,2101.68973
2019-06-01,TRUE,FALSE,FALSE,471572.45248840225,977.33385
2020-06-01,FALSE,FALSE,FALSE,13577347.734044109,11763.01118
2021-10-01,FALSE,FALSE,FALSE,15899307.15430884,4617.12197
2023-06-01,TRUE,FALSE,FALSE,594145.4222679113,3003.27791
2025-10-01,TRUE,FALSE,FALSE,570349.6481471665,3032.1300100000003
2019-09-01,TRUE,FALSE,FALSE,480611.2573489964,1591.5542599999999
2021-05-01,FALSE,FALSE,FALSE,15710954.707273625,7652.884980000001
2017-10-01,FALSE,FALSE,FALSE,14462930.097064871,2712.08983
2019-02-01,TRUE,TRUE,TRUE,1827886.5171946525,1573574.8922699997
2025-06-01,TRUE,FALSE,FALSE,630098.8852882364,310.51210000000003
2022-07-01,TRUE,FALSE,FALSE,580122.612376549,1618.1427199999998
2017-07-01,TRUE,FALSE,FALSE,465998.75633113773,1502.08647
2019-08-01,TRUE,FALSE,FALSE,508721.0201676868,1370.9660000000001
2020-10-01,TRUE,FALSE,FALSE,477068.4336225437,1150.8301199999999
2020-09-01,TRUE,FALSE,FALSE,468713.2842738798,797.28133
2020-08-01,TRUE,FALSE,FALSE,483590.4632674129,1069.1322300000002
2017-12-01,FALSE,TRUE,FALSE,263857.4099819204,435234.5320699999
2019-05-01,FALSE,TRUE,FALSE,647176.1177023796,745175.9539999999
2019-10-01,FALSE,FALSE,FALSE,14708696.64022899,10341.1716
2019-05-01,TRUE,FALSE,FALSE,473528.529444245,1112.01153
2023-07-01,TRUE,FALSE,FALSE,606661.7058509043,3044.0142400000004
2020-05-01,TRUE,TRUE,TRUE,1942784.9345914135,1638453.23011
2018-05-01,FALSE,TRUE,TRUE,57426305.75541821,21885737.204889998
2021-09-01,FALSE,TRUE,TRUE,62389694.45379681,22885032.858370002
2018-10-01,FALSE,TRUE,TRUE,55460917.221635684,22307229.31923001
2020-07-01,FALSE,FALSE,FALSE,14306426.376508165,8222.89242
2023-08-01,FALSE,FALSE,FALSE,17636566.266609743,28926.706690000003
2022-09-01,FALSE,FALSE,FALSE,16294542.999676434,1715.48722
2018-01-01,TRUE,TRUE,TRUE,1912530.9009930573,1605273.74951
2020-12-01,TRUE,TRUE,TRUE,2354025.2985891732,1946840.8359700004
2023-01-01,TRUE,TRUE,FALSE,478891.5089698185,493084.1700599999
2021-01-01,TRUE,TRUE,TRUE,2195492.9036756894,1629852.49806
2017-03-01,TRUE,TRUE,TRUE,1887485.857158972,2087478.2400399998
2022-10-01,TRUE,TRUE,TRUE,3908515.1450410546,3364904.2253199993
2018-04-01,TRUE,TRUE,TRUE,2429746.9372715238,2029943.9686499997
2023-02-01,TRUE,TRUE,TRUE,3150484.973432293,2060590.663600001
2025-08-01,TRUE,TRUE,TRUE,4795425.370947957,2727323.407460001
2025-05-01,TRUE,TRUE,TRUE,3486469.1714463285,1808161.6442200001
2024-03-01,TRUE,TRUE,TRUE,4268924.979693213,2281385.71787
2023-09-01,TRUE,TRUE,TRUE,5030651.110087177,3148113.977569999
2021-08-01,TRUE,TRUE,TRUE,2557000.1712056925,2130711.73712
2023-10-01,TRUE,TRUE,TRUE,4950873.941855712,2834450.8306399994
2021-06-01,FALSE,TRUE,TRUE,63320428.752514146,22908916.19421
2025-12-01,TRUE,TRUE,FALSE,933565.7371610004,689563.50387
2022-08-01,FALSE,TRUE,TRUE,69573834.47981338,23767180.42076
2018-11-01,FALSE,TRUE,TRUE,51781305.00882331,22255910.094269987
2017-02-01,FALSE,TRUE,TRUE,42763201.197429344,20726992.402419996
2018-07-01,FALSE,TRUE,TRUE,59665950.73398937,22204665.550339997
2024-12-01,FALSE,TRUE,TRUE,67151912.12424634,22324160.81113
2018-02-01,FALSE,TRUE,TRUE,46340392.96199044,20032238.45212999
2025-12-01,FALSE,TRUE,TRUE,69028324.25360022,23367205.91665
2018-08-01,FALSE,FALSE,FALSE,14466562.618909236,13855.324540000001
2024-08-01,FALSE,TRUE,TRUE,76617117.60505943,22817680.170710005
2023-04-01,TRUE,TRUE,TRUE,4131864.7538366485,2898616.8417399996
2021-07-01,TRUE,TRUE,TRUE,2234519.885324481,1578389.6675699996
2018-09-01,TRUE,TRUE,TRUE,2909233.943462863,2744929.02137
2023-05-01,TRUE,TRUE,TRUE,2800970.1810639873,1920622.3759500002
2021-04-01,FALSE,TRUE,TRUE,57337637.51968998,22076850.25609
2020-11-01,FALSE,TRUE,TRUE,54782891.50396861,22628086.92816
2020-02-01,FALSE,TRUE,TRUE,49440291.526895806,21601760.846999995
2017-08-01,FALSE,TRUE,TRUE,56617924.670991875,22487742.799619995
2023-01-01,FALSE,TRUE,TRUE,58643662.94341362,20608539.4175
2024-06-01,TRUE,TRUE,TRUE,3271811.9735325454,1755774.25913
2019-12-01,TRUE,TRUE,TRUE,2253314.888131319,1923897.786160001
2022-02-01,TRUE,TRUE,FALSE,374372.7168548408,422732.66231999994
2023-12-01,FALSE,TRUE,TRUE,62841971.41762626,22045896.340319995
2023-11-01,FALSE,TRUE,TRUE,61682574.186456025,22638747.180350002
2025-07-01,FALSE,TRUE,TRUE,79006178.14184469,23829485.937539995
2017-11-01,FALSE,TRUE,TRUE,50180402.83262779,21968013.63285999
2025-09-01,TRUE,TRUE,TRUE,5759931.825175519,3609702.0036200006
2017-11-01,TRUE,TRUE,FALSE,5282.075256027224,14493.919600000001
2020-02-01,TRUE,TRUE,FALSE,53262.13041392582,57792.03603000001
2025-11-01,FALSE,TRUE,TRUE,67760991.17242475,23943280.325770002
2022-02-01,FALSE,TRUE,TRUE,50615616.79032107,21418090.721740004
2024-10-01,TRUE,TRUE,TRUE,5369273.315890889,3057488.9649699996
2022-03-01,FALSE,TRUE,TRUE,58587659.42570152,22553117.987049997
2022-05-01,TRUE,TRUE,TRUE,2157390.368681719,1891277.94051
2017-01-01,FALSE,TRUE,FALSE,2490002.5364559772,1943578.53997
2023-03-01,FALSE,TRUE,FALSE,928233.4795699471,780953.8395
2018-05-01,TRUE,TRUE,FALSE,7232.345364952223,27695.32595
2021-03-01,FALSE,TRUE,FALSE,519013.5453645257,692647.2142200001
2019-06-01,FALSE,TRUE,FALSE,528095.8786427381,665785.4724900001
2020-10-01,FALSE,TRUE,FALSE,521635.6542398648,565561.0247299998
2018-06-01,FALSE,TRUE,FALSE,462816.6049527208,624359.7178500001
2023-07-01,FALSE,TRUE,FALSE,1123649.82373283,898988.5182899999
2025-06-01,FALSE,TRUE,FALSE,2176830.701129141,1007764.2319400001
2020-04-01,FALSE,TRUE,FALSE,492353.56249648525,653443.47015
2022-03-01,TRUE,TRUE,FALSE,446458.22234575625,489875.36802
2025-11-01,TRUE,TRUE,FALSE,838231.9495899987,674232.34355
2025-07-01,TRUE,TRUE,FALSE,204193.41784414885,323064.04602999997
2022-07-01,FALSE,TRUE,FALSE,1059255.5599982692,886666.80437
2024-08-01,TRUE,TRUE,FALSE,455052.76152328885,601196.9543200001
2023-11-01,TRUE,TRUE,FALSE,662792.4955268684,639841.4779299999
2018-02-01,TRUE,TRUE,FALSE,3547.5017415832785,13518.923400000001
2024-12-01,TRUE,TRUE,FALSE,947438.5515437289,635007.1475999999
2024-02-01,FALSE,TRUE,FALSE,957757.1516709547,708061.95722999994
2023-12-01,TRUE,TRUE,FALSE,729387.5810463388,632294.7654400001
2022-12-01,FALSE,TRUE,FALSE,912853.3152697899,686766.52907
2024-01-01,FALSE,TRUE,FALSE,927534.477621566,714791.71902
2022-04-01,FALSE,TRUE,FALSE,848865.0802651976,682176.5263399999
2018-11-01,TRUE,TRUE,FALSE,20391.45682303649,24296.1155
2020-11-01,TRUE,TRUE,FALSE,36308.7428460272,35479.926320000006
2019-03-01,FALSE,TRUE,FALSE,569960.329346313,656959.09208
2017-07-01,FALSE,TRUE,FALSE,448225.6328142222,621243.3686800001
2021-09-01,TRUE,TRUE,FALSE,54382.58467783355,40882.50371
2024-11-01,FALSE,TRUE,FALSE,668976.3655639414,550562.0630100002
2017-08-01,TRUE,TRUE,FALSE,5751.66487033874,25787.192630000005
2022-08-01,TRUE,TRUE,FALSE,397965.8514099061,528526.80406
2018-07-01,TRUE,TRUE,FALSE,25608.54551571648,30494.177580000007
2017-02-01,TRUE,TRUE,FALSE,4135.451277272995,13113.4851
2021-04-01,TRUE,TRUE,FALSE,71596.30143362086,56174.514559999996
2021-12-01,FALSE,TRUE,FALSE,335883.0645771854,293882.11068999994
2018-10-01,TRUE,TRUE,FALSE,13639.217815213564,28180.48562
2023-06-01,FALSE,TRUE,FALSE,947471.5922409025,671533.11292
2025-02-01,FALSE,TRUE,FALSE,600506.5942666245,556116.51758
2019-11-01,FALSE,TRUE,FALSE,373546.2737265625,472240.70045999996
2019-09-01,FALSE,TRUE,FALSE,315070.7301305849,194261.09821999999
2020-08-01,FALSE,TRUE,FALSE,402845.13548594766,379141.29973
2017-06-01,FALSE,TRUE,FALSE,421337.25394692546,606405.79311
2020-09-01,FALSE,TRUE,FALSE,318771.6798397986,324721.87154
2025-01-01,FALSE,TRUE,FALSE,760379.5539225723,622264.70863
2019-08-01,FALSE,TRUE,FALSE,456457.19134838047,421947.1205800001
2025-10-01,FALSE,TRUE,FALSE,1031061.3916857925,723029.2407300001
2021-06-01,TRUE,TRUE,FALSE,48161.44319582048,49750.11326
2023-01-01,FALSE,FALSE,FALSE,17767226.65297709,28252.33145
2017-02-01,FALSE,FALSE,FALSE,12994293.48736257,577.81019
2020-02-01,FALSE,FALSE,FALSE,12738645.43044958,10683.359980000001
2022-02-01,FALSE,FALSE,FALSE,15075831.309873128,7587.57169
2018-01-01,TRUE,FALSE,FALSE,380825.6659226475,1211.9432499999998
2018-02-01,FALSE,FALSE,FALSE,13119763.145162182,7894.7019199999995
2019-11-01,TRUE,TRUE,TRUE,2617445.841179967,2272879.22457
2019-08-01,TRUE,TRUE,TRUE,2422299.1043731053,2185299.8762100004
2019-10-01,FALSE,TRUE,TRUE,57923414.81404458,22736082.363520004
2020-12-01,TRUE,FALSE,FALSE,421596.6635235128,1700.50407
2023-12-01,FALSE,FALSE,FALSE,18153755.625292715,29674.15367
2019-01-01,TRUE,FALSE,FALSE,398270.0715218599,2740.2944999999995
2017-11-01,FALSE,FALSE,FALSE,14652580.99013326,1925.13367
2023-02-01,TRUE,FALSE,FALSE,528538.7940991451,10068.71435
2025-11-01,FALSE,FALSE,FALSE,22853540.06166517,16400.91492
2025-12-01,FALSE,FALSE,FALSE,23446533.17332036,28516.10594
2019-12-01,TRUE,FALSE,FALSE,417542.0675569599,1689.7855799999998
2024-12-01,FALSE,FALSE,FALSE,21335208.66917931,16589.52083
2019-02-01,TRUE,FALSE,FALSE,371350.872698688,3521.58458
2021-01-01,TRUE,FALSE,FALSE,403266.9572432916,1142.22084
2022-03-01,FALSE,FALSE,FALSE,16840837.446756467,634.39325
2025-07-01,FALSE,FALSE,FALSE,21859785.552003138,0
2019-03-01,TRUE,TRUE,TRUE,2335688.7142440174,1944762.7261299998
2024-03-01,TRUE,FALSE,FALSE,638076.6211442495,5654.467729999999
2023-11-01,FALSE,FALSE,FALSE,17522364.100254923,29401.435340000004
