year,fishing,length_size_class_percentile,number_ais_detections,number_dark_detections,emissions_co2_dark_mt,ratio_inferred
2023,FALSE,9,254736,13240,5193274.3960535955,FALSE
2023,TRUE,8,NA,NA,817170.7939755293,TRUE
2019,FALSE,3,26336,32929,4580025.179347305,FALSE
2022,TRUE,5,NA,NA,863949.3426346767,TRUE
2020,FALSE,9,391495,34590,10583470.097272374,FALSE
2023,TRUE,6,43545,43346,1765209.0495640489,FALSE
2021,TRUE,8,105254,87095,1493117.5963656616,FALSE
2021,TRUE,4,57008,58280,1109086.0213458508,FALSE
2021,TRUE,6,76122,80827,1522899.580321119,FALSE
2020,TRUE,6,NA,NA,368629.28449779295,TRUE
2017,TRUE,9,115567,106328,2414424.583174139,FALSE
2023,FALSE,5,56134,17725,1704526.8144908193,FALSE
2021,TRUE,6,NA,NA,391729.3739213837,TRUE
2024,FALSE,7,98323,17761,2157929.943662726,FALSE
2020,TRUE,5,62093,67466,1019931.5334012787,FALSE
2022,TRUE,3,23198,20633,405936.81880637305,FALSE
2023,TRUE,3,NA,NA,230496.10615286825,TRUE
2024,TRUE,2,NA,NA,24488.477403883655,TRUE
2022,TRUE,1,NA,NA,1143.1246416515692,TRUE
2023,FALSE,8,NA,NA,1052078.9589698229,TRUE
2017,TRUE,10,NA,NA,4188061.197719421,TRUE
2020,TRUE,10,NA,NA,3833029.4428584706,TRUE
2020,FALSE,7,NA,NA,626904.1596595908,TRUE
2016,TRUE,10,NA,NA,11380877.143534482,TRUE
2024,FALSE,7,NA,NA,509603.64672449586,TRUE
2017,FALSE,8,NA,NA,1725658.1802056269,TRUE
2024,FALSE,6,NA,NA,483594.9978359755,TRUE
2021,FALSE,6,NA,NA,489299.6169097367,TRUE
2020,FALSE,1,NA,NA,84624352.8567812,TRUE
2020,FALSE,10,NA,NA,21788740.350995526,TRUE
2023,FALSE,5,NA,NA,631913.3527651811,TRUE
2018,FALSE,8,210505,36505,8148486.126045821,FALSE
2019,FALSE,2,NA,NA,36248773.83389431,TRUE
2019,FALSE,10,477239,36533,32639051.009997223,FALSE
2024,FALSE,10,369189,20927,18721669.280004293,FALSE
2017,TRUE,6,NA,NA,267820.24841952085,TRUE
2024,TRUE,8,68122,36331,1243597.2188399902,FALSE
2018,TRUE,9,109037,93862,2494170.2357871756,FALSE
2017,FALSE,8,209351,38605,8565456.872221733,FALSE
2021,TRUE,9,137335,101343,2589521.4681481444,FALSE
2022,FALSE,5,62451,20894,1819468.592421996,FALSE
2017,TRUE,3,NA,NA,83498.23795272627,TRUE
2018,TRUE,9,NA,NA,582673.7061616346,TRUE
2021,FALSE,8,201420,27759,6076776.076070548,FALSE
2021,TRUE,3,NA,NA,136802.82136965723,TRUE
2016,FALSE,2,1869,5711,1292110.9843856632,FALSE
2019,FALSE,1,2688,11370,2997683.251525638,FALSE
2021,FALSE,2,8685,21948,2101578.1176279397,FALSE
2018,FALSE,1,2167,9761,2840608.2835271833,FALSE
2017,TRUE,1,NA,NA,67.97169599608561,TRUE
2021,TRUE,1,696,211,1541.6967723335506,FALSE
2017,FALSE,6,NA,NA,708032.4189114816,TRUE
2020,FALSE,9,NA,NA,3667733.670530235,TRUE
2021,FALSE,9,NA,NA,2916387.937088249,TRUE
2022,FALSE,7,NA,NA,580427.7088998917,TRUE
2021,FALSE,4,NA,NA,1659824.6388966923,TRUE
2019,FALSE,9,NA,NA,4068578.265457531,TRUE
2019,FALSE,1,NA,NA,98779254.07931866,TRUE
2023,FALSE,4,NA,NA,1598556.571117864,TRUE
2019,FALSE,4,NA,NA,2112725.704841052,TRUE
2024,FALSE,3,NA,NA,7287517.575951237,TRUE
2022,FALSE,10,NA,NA,13225607.445011523,TRUE
2018,FALSE,4,NA,NA,1975333.6485582262,TRUE
2023,TRUE,4,NA,NA,1137113.128501759,TRUE
2022,FALSE,10,345711,17428,19628638.79115012,FALSE
2019,FALSE,9,397581,40226,12543640.322143383,FALSE
2016,TRUE,5,NA,NA,383684.45110243995,TRUE
2020,TRUE,7,NA,NA,330895.61131600983,TRUE
2019,FALSE,8,231564,40656,8076906.009647757,FALSE
2018,TRUE,7,75968,81910,1542880.806076911,FALSE
2023,TRUE,7,NA,NA,622602.903127087,TRUE
2023,FALSE,6,72097,16999,2069867.905249228,FALSE
2021,TRUE,5,NA,NA,345711.5366035896,TRUE
2020,TRUE,4,NA,NA,165710.7154873085,TRUE
2017,TRUE,4,38707,41610,670129.6665871456,FALSE
2022,FALSE,2,8216,20819,2405099.6530596237,FALSE
2024,TRUE,7,55535,37739,1569045.3252165087,FALSE
2024,TRUE,4,31281,26788,674541.7241767548,FALSE
2018,FALSE,5,74047,30052,2750240.0231127935,FALSE
2016,FALSE,5,29718,13142,2043896.0122952443,FALSE
2020,FALSE,2,7521,18549,2016943.7206707895,FALSE
2019,FALSE,2,8112,21462,2413275.2944120867,FALSE
2016,FALSE,1,578,1660,795017.3570659444,FALSE
2019,TRUE,2,8633,3684,8933.16061143033,FALSE
2016,FALSE,4,15110,11229,3025569.0750709344,FALSE
2020,TRUE,2,8026,3578,10314.41944399902,FALSE
2020,TRUE,3,NA,NA,107799.67967036748,TRUE
2021,TRUE,2,10199,4312,14757.00013157939,FALSE
2023,TRUE,2,4260,1985,8117.705290724609,FALSE
2018,TRUE,2,NA,NA,11633.081140594997,TRUE
2020,TRUE,1,414,86,364.6283633806173,FALSE
2024,FALSE,8,NA,NA,1047084.6185760603,TRUE
2016,FALSE,9,NA,NA,14923698.790830826,TRUE
2016,FALSE,3,NA,NA,23263156.86865219,TRUE
2016,FALSE,6,NA,NA,2815399.028925429,TRUE
2020,FALSE,6,NA,NA,554698.3922464678,TRUE
2018,FALSE,8,NA,NA,1411356.2404563362,TRUE
2024,FALSE,2,NA,NA,22918411.048501655,TRUE
2022,FALSE,6,NA,NA,510712.96684231225,TRUE
2021,FALSE,2,NA,NA,35105725.871802256,TRUE
2016,FALSE,8,NA,NA,6264507.465144824,TRUE
2017,FALSE,2,NA,NA,40533299.31991972,TRUE
2019,FALSE,10,NA,NA,19965424.66290758,TRUE
2017,FALSE,1,NA,NA,62694035.741141,TRUE
2018,FALSE,5,NA,NA,747378.6126645904,TRUE
2018,FALSE,1,NA,NA,81810468.193003193,TRUE
2021,FALSE,5,NA,NA,613038.27646121,TRUE
2020,FALSE,2,NA,NA,36794867.298704185,TRUE
2023,FALSE,10,NA,NA,10603325.86513701,TRUE
2021,FALSE,3,NA,NA,10040445.987820966,TRUE
2018,FALSE,10,432936,30125,27734562.326130494,FALSE
2018,FALSE,6,102260,30126,3202556.269278041,FALSE
2019,FALSE,6,112247,33754,3264453.998793125,FALSE
2016,TRUE,8,NA,NA,826188.3811330048,TRUE
2017,TRUE,9,NA,NA,667386.3242870568,TRUE
2023,TRUE,5,NA,NA,1004584.305615027,TRUE
2018,TRUE,4,NA,NA,150812.59608864432,TRUE
2024,TRUE,9,NA,NA,1329011.354142289,TRUE
2022,FALSE,9,250785,12842,5489746.912247652,FALSE
2017,TRUE,7,77053,89017,1456977.5776619695,FALSE
2022,FALSE,8,121433,15050,4471917.761971698,FALSE
2024,TRUE,5,38757,33637,944926.6841753541,FALSE
2018,TRUE,5,NA,NA,292852.2873348204,TRUE
2019,TRUE,5,68761,75304,1006548.7926509024,FALSE
2017,FALSE,2,5390,19392,2798939.3900789972,FALSE
2018,TRUE,8,89652,87418,1464574.0421308165,FALSE
2017,TRUE,5,NA,NA,275117.24454454676,TRUE
2016,FALSE,10,167351,18279,25338606.893791243,FALSE
2019,TRUE,6,NA,NA,411138.6889876021,TRUE
2016,TRUE,3,NA,NA,108151.75566219256,TRUE
2024,FALSE,2,9406,17610,2438746.422880939,FALSE
2024,TRUE,2,4149,1522,7130.377855145851,FALSE
2023,TRUE,1,NA,NA,2042.1821338484895,TRUE
2016,TRUE,2,NA,NA,24556.77717862549,TRUE
2019,TRUE,1,781,218,17.345509215463018,FALSE
2017,TRUE,1,221,85,28.210882361806924,FALSE
2019,TRUE,1,NA,NA,12.613645209909457,TRUE
2021,TRUE,1,NA,NA,782.0616128936151,TRUE
2017,FALSE,7,NA,NA,845057.2848170112,TRUE
2021,TRUE,10,NA,NA,3817426.5513882516,TRUE
2022,FALSE,8,NA,NA,1131569.7912819413,TRUE
2017,FALSE,10,NA,NA,18372576.951821636,TRUE
2022,FALSE,5,NA,NA,592046.3040966805,TRUE
2021,FALSE,10,NA,NA,19132339.36426594,TRUE
2017,FALSE,10,378935,32154,31563300.65017073,FALSE
2021,FALSE,6,134785,33513,2472097.2252664412,FALSE
2023,FALSE,7,91387,16924,2374548.627348241,FALSE
2018,FALSE,4,44510,31250,3949458.3876634873,FALSE
2018,FALSE,2,6653,20446,2799635.9311523247,FALSE
2018,FALSE,3,23357,32211,5649322.084019174,FALSE
2016,TRUE,9,NA,NA,1505491.1751101275,TRUE
2019,TRUE,8,NA,NA,459963.7300366119,TRUE
2021,TRUE,9,NA,NA,741625.1305717399,TRUE
2020,FALSE,7,154832,33747,3233276.201420833,FALSE
2022,FALSE,4,42626,21687,2654257.3790310617,FALSE
2023,FALSE,10,348816,15479,16392827.858922992,FALSE
2017,FALSE,6,97952,31238,3549413.57760916,FALSE
2023,TRUE,9,80259,42108,3059278.7017684793,FALSE
2022,TRUE,8,NA,NA,782909.4614936415,TRUE
2020,TRUE,7,80370,79007,1320682.092458708,FALSE
2024,TRUE,7,NA,NA,567642.7462791136,TRUE
2020,TRUE,9,128403,101857,2369844.8038815926,FALSE
2016,FALSE,8,104884,20262,6916720.393485656,FALSE
2022,TRUE,6,45221,51723,1644618.834966406,FALSE
2019,TRUE,8,100835,99718,1556230.0796489653,FALSE
2016,TRUE,8,50809,66325,1501425.2652645148,FALSE
2022,FALSE,1,3852,15198,2953411.024108927,FALSE
2016,TRUE,5,29507,37471,725914.1559162223,FALSE
2019,FALSE,4,49910,33474,3656283.044196942,FALSE
2016,TRUE,3,13369,13930,195946.14350757998,FALSE
2024,TRUE,1,244,92,127.96345611308945,FALSE
2016,TRUE,2,2313,1602,7015.723054286721,FALSE
2022,TRUE,2,5156,3431,10253.217662752179,FALSE
2018,TRUE,1,NA,NA,17.21769240740638,TRUE
2023,TRUE,10,NA,NA,5191027.956374347,TRUE
2019,FALSE,6,NA,NA,681565.0025071148,TRUE
2024,FALSE,10,NA,NA,11975138.885036886,TRUE
2019,TRUE,10,NA,NA,3857524.9213073123,TRUE
2016,FALSE,7,NA,NA,3628226.833588912,TRUE
2022,FALSE,2,NA,NA,33287012.248829823,TRUE
2021,FALSE,7,NA,NA,557968.238311784,TRUE
2024,FALSE,5,NA,NA,591976.6006894278,TRUE
2018,FALSE,10,NA,NA,18348550.95387068,TRUE
2019,FALSE,3,NA,NA,17674172.546677515,TRUE
2017,FALSE,4,NA,NA,2214712.6160249417,TRUE
2016,FALSE,2,NA,NA,26342363.259487584,TRUE
2017,FALSE,3,19272,29943,5333874.461062656,FALSE
2016,FALSE,9,175471,22404,11543769.983915593,FALSE
2021,FALSE,4,59625,31918,3189908.2643237896,FALSE
2024,FALSE,8,153058,19976,4501710.69852269,FALSE
2021,FALSE,10,504525,39114,35254223.3210037,FALSE
2023,FALSE,8,126496,15335,4287204.701487077,FALSE
2022,TRUE,10,185437,59390,5143910.217334691,FALSE
2017,TRUE,8,NA,NA,444960.2903815905,TRUE
2019,TRUE,5,NA,NA,360411.9853398104,TRUE
2024,TRUE,10,177177,50876,5312786.076769794,FALSE
2022,TRUE,4,NA,NA,1082323.6224582589,TRUE
2023,TRUE,8,62376,39946,1662952.7332528536,FALSE
2018,TRUE,6,68103,79380,1226337.7685309476,FALSE
2022,TRUE,9,NA,NA,1517614.8748048213,TRUE
