vessel_class,year,emissions_co2_mt,n_unique_vessels,share_emissions,share_vessels
Fishing,2017,28835407.77740915,81195,0.03498514333440245,0.2568868584156192
Tug,2017,12342897.34818004,31053,0.014975270550056126,0.09824629120487989
Supply vessel,2017,5628992.512993744,3929,0.006829489335318099,0.012430672661062476
Specialized reefer,2017,4457109.159871217,530,0.005407678088649631,0.0016768278214210008
Container reefer,2017,3643643.9756644354,104,0.004420724954963883,3.290379121278945e-4
Dredge non fishing,2017,2397038.1171182427,2197,0.0029082551130456993,0.006950925893701772
Bunker,2017,2294669.609063547,2322,0.002784054444379302,0.007346404153470876
Seismic vessel,2017,2015746.6298642196,1086,0.0024456454826655032,0.003435915120873975
Cargo: refrigerated,2017,2014489.8386752105,192,0.0024441206552648187,6.074546070053437e-4
Patrol vessel,2017,1303277.9386587825,2759,0.0015812283925550504,0.008728996149623663
Other not fishing,2017,1296834.83891632,1105,0.0015734111711116102,0.003496027816358879
Dive vessel,2017,714720.3996793297,349,8.671490210862352e-4,0.0011041753012753382
Tanker: other,2017,248178.0447284549,27,3.011070463889538e-4,8.542330411012646e-5
Well boat,2017,205893.39464797068,84,2.498043370487459e-4,2.657613905648379e-4
Research,2017,77735.53731171838,55,9.431421729911847e-5,1.7401043429840575e-4
Cargo: container,2018,149750984.1630339,5315,0.17384241869838504,0.015393437732603099
Passenger,2018,145641128.4702955,117307,0.1690713832482999,0.3397475070740304
Tanker: oil,2018,142963511.3722871,11091,0.16596300011968448,0.032122035351326614
Cargo: bulk carrier,2018,125825264.7715759,13189,0.1460676100628593,0.0381983161345818
Cargo: general,2018,80297563.11279272,51326,0.09321556492688429,0.14865166228853935
Tanker: chemical,2018,58237604.61102278,5243,0.06760667451613032,0.015184909507438955
Tanker: liquefied gas,2018,50527004.95482672,1560,0.058655619527478414,0.004518111545223111
Cargo: ro ro,2018,36533199.598138526,2747,0.042410537843390154,0.007955931035081978
Fishing,2018,31526825.952819582,89737,0.03659875564860619,0.25989857418826046
Tug,2018,13217610.635554478,32386,0.015344015367516343,0.09379715416897158
Supply vessel,2018,6002681.534411179,3991,0.006968372745264175,0.011558835369862458
Specialized reefer,2018,4359181.287955288,531,0.00506047170827178,0.0015378956605855588
Container reefer,2018,3552563.9303477383,104,0.00412408846381888,3.0120743634820735e-4
Dredge non fishing,2018,2524461.529757508,2292,0.0029305884077949367,0.0066381485010585705
Bunker,2018,2448755.318048546,2437,0.0028427028354393678,0.00705810117673636
Seismic vessel,2018,2088950.3569433547,1114,0.002425013662658324,0.0032263950393452215
