fishing,length_size_bin,month,n_s1_detections,n_s1_detections_unmatched,length_bin_min,length_bin_max
TRUE,1,2017-12-01T00:00:00Z,102223,81282,0,25
TRUE,2,2017-12-01T00:00:00Z,53464,32030,25,50
TRUE,3,2017-12-01T00:00:00Z,9544,2986,50,75
TRUE,4,2017-12-01T00:00:00Z,1757,411,75,100
TRUE,5,2017-12-01T00:00:00Z,257,64,100,Inf
FALSE,1,2018-01-01T00:00:00Z,5071,4783,0,25
FALSE,2,2018-01-01T00:00:00Z,8681,5895,25,50
FALSE,3,2018-01-01T00:00:00Z,18440,7222,50,75
FALSE,4,2018-01-01T00:00:00Z,23016,6864,75,100
FALSE,5,2018-01-01T00:00:00Z,17855,4537,100,125
FALSE,6,2018-01-01T00:00:00Z,16293,3745,125,150
FALSE,7,2018-01-01T00:00:00Z,14722,2689,150,175
FALSE,8,2018-01-01T00:00:00Z,15054,2630,175,200
FALSE,9,2018-01-01T00:00:00Z,8358,1471,200,225
FALSE,10,2018-01-01T00:00:00Z,14429,2509,225,Inf
TRUE,1,2018-01-01T00:00:00Z,97069,77784,0,25
TRUE,2,2018-01-01T00:00:00Z,51019,29749,25,50
TRUE,3,2018-01-01T00:00:00Z,10341,3119,50,75
TRUE,4,2018-01-01T00:00:00Z,2004,371,75,100
TRUE,5,2018-01-01T00:00:00Z,257,75,100,Inf
FALSE,1,2018-02-01T00:00:00Z,4301,4052,0,25
FALSE,2,2018-02-01T00:00:00Z,7818,5248,25,50
FALSE,3,2018-02-01T00:00:00Z,16175,6202,50,75
FALSE,4,2018-02-01T00:00:00Z,20413,5826,75,100
FALSE,5,2018-02-01T00:00:00Z,15956,3985,100,125
FALSE,6,2018-02-01T00:00:00Z,14645,3226,125,150
FALSE,7,2018-02-01T00:00:00Z,13256,2422,150,175
FALSE,8,2018-02-01T00:00:00Z,13234,2267,175,200
FALSE,9,2018-02-01T00:00:00Z,7597,1210,200,225
FALSE,10,2018-02-01T00:00:00Z,13111,2185,225,Inf
TRUE,1,2018-02-01T00:00:00Z,85281,66006,0,25
TRUE,2,2018-02-01T00:00:00Z,44687,24217,25,50
TRUE,3,2018-02-01T00:00:00Z,9697,2641,50,75
TRUE,4,2018-02-01T00:00:00Z,2110,377,75,100
TRUE,5,2018-02-01T00:00:00Z,287,67,100,Inf
FALSE,1,2018-03-01T00:00:00Z,5150,4786,0,25
FALSE,2,2018-03-01T00:00:00Z,9086,6079,25,50
FALSE,3,2018-03-01T00:00:00Z,18886,7201,50,75
FALSE,4,2018-03-01T00:00:00Z,23353,6648,75,100
FALSE,5,2018-03-01T00:00:00Z,18416,4558,100,125
FALSE,6,2018-03-01T00:00:00Z,16310,3557,125,150
FALSE,7,2018-03-01T00:00:00Z,14754,2668,150,175
FALSE,8,2018-03-01T00:00:00Z,15142,2454,175,200
FALSE,9,2018-03-01T00:00:00Z,9065,1405,200,225
FALSE,10,2018-03-01T00:00:00Z,15760,2680,225,Inf
TRUE,1,2018-03-01T00:00:00Z,128570,96412,0,25
TRUE,2,2018-03-01T00:00:00Z,51933,28189,25,50
TRUE,3,2018-03-01T00:00:00Z,9975,2768,50,75
TRUE,4,2018-03-01T00:00:00Z,2157,419,75,100
TRUE,5,2018-03-01T00:00:00Z,276,62,100,Inf
FALSE,1,2018-04-01T00:00:00Z,5759,5388,0,25
FALSE,2,2018-04-01T00:00:00Z,9569,6325,25,50
FALSE,3,2018-04-01T00:00:00Z,18675,7215,50,75
FALSE,4,2018-04-01T00:00:00Z,23184,6403,75,100
FALSE,5,2018-04-01T00:00:00Z,18690,4526,100,125
FALSE,6,2018-04-01T00:00:00Z,15474,3228,125,150
FALSE,7,2018-04-01T00:00:00Z,14194,2481,150,175
FALSE,8,2018-04-01T00:00:00Z,14757,2353,175,200
FALSE,9,2018-04-01T00:00:00Z,9219,1430,200,225
FALSE,10,2018-04-01T00:00:00Z,17253,2991,225,Inf
TRUE,1,2018-04-01T00:00:00Z,151168,112124,0,25
TRUE,2,2018-04-01T00:00:00Z,50958,27509,25,50
TRUE,3,2018-04-01T00:00:00Z,8812,2520,50,75
TRUE,4,2018-04-01T00:00:00Z,1835,361,75,100
TRUE,5,2018-04-01T00:00:00Z,274,68,100,Inf
FALSE,1,2018-05-01T00:00:00Z,5054,4603,0,25
FALSE,2,2018-05-01T00:00:00Z,9509,6162,25,50
FALSE,3,2018-05-01T00:00:00Z,19085,7078,50,75
FALSE,4,2018-05-01T00:00:00Z,23773,6401,75,100
FALSE,5,2018-05-01T00:00:00Z,18916,4430,100,125
FALSE,6,2018-05-01T00:00:00Z,16000,3314,125,150
FALSE,7,2018-05-01T00:00:00Z,14274,2417,150,175
FALSE,8,2018-05-01T00:00:00Z,15038,2324,175,200
FALSE,9,2018-05-01T00:00:00Z,9230,1433,200,225
FALSE,10,2018-05-01T00:00:00Z,17746,2795,225,Inf
TRUE,1,2018-05-01T00:00:00Z,146639,111952,0,25
TRUE,2,2018-05-01T00:00:00Z,45945,23512,25,50
TRUE,3,2018-05-01T00:00:00Z,8637,2251,50,75
TRUE,4,2018-05-01T00:00:00Z,1962,311,75,100
TRUE,5,2018-05-01T00:00:00Z,295,73,100,Inf
FALSE,1,2018-06-01T00:00:00Z,4435,3981,0,25
FALSE,2,2018-06-01T00:00:00Z,8504,5395,25,50
FALSE,3,2018-06-01T00:00:00Z,17415,6621,50,75
FALSE,4,2018-06-01T00:00:00Z,22131,6119,75,100
FALSE,5,2018-06-01T00:00:00Z,17557,4207,100,125
FALSE,6,2018-06-01T00:00:00Z,14825,3117,125,150
FALSE,7,2018-06-01T00:00:00Z,13306,2311,150,175
FALSE,8,2018-06-01T00:00:00Z,14172,2110,175,200
FALSE,9,2018-06-01T00:00:00Z,8495,1254,200,225
FALSE,10,2018-06-01T00:00:00Z,15735,2499,225,Inf
TRUE,1,2018-06-01T00:00:00Z,123283,91793,0,25
TRUE,2,2018-06-01T00:00:00Z,40884,21200,25,50
TRUE,3,2018-06-01T00:00:00Z,7711,2219,50,75
TRUE,4,2018-06-01T00:00:00Z,1731,330,75,100
TRUE,5,2018-06-01T00:00:00Z,251,65,100,Inf
FALSE,1,2018-07-01T00:00:00Z,4410,3894,0,25
FALSE,2,2018-07-01T00:00:00Z,9016,5540,25,50
FALSE,3,2018-07-01T00:00:00Z,18451,6790,50,75
FALSE,4,2018-07-01T00:00:00Z,23849,6423,75,100
FALSE,5,2018-07-01T00:00:00Z,19161,4596,100,125
FALSE,6,2018-07-01T00:00:00Z,16090,3432,125,150
FALSE,7,2018-07-01T00:00:00Z,14608,2480,150,175
FALSE,8,2018-07-01T00:00:00Z,15486,2407,175,200
FALSE,9,2018-07-01T00:00:00Z,9371,1463,200,225
FALSE,10,2018-07-01T00:00:00Z,17523,2738,225,Inf
TRUE,1,2018-07-01T00:00:00Z,135829,95743,0,25
TRUE,2,2018-07-01T00:00:00Z,44843,22763,25,50
TRUE,3,2018-07-01T00:00:00Z,7567,2253,50,75
TRUE,4,2018-07-01T00:00:00Z,1519,340,75,100
TRUE,5,2018-07-01T00:00:00Z,235,66,100,Inf
FALSE,1,2018-08-01T00:00:00Z,5049,4571,0,25
FALSE,2,2018-08-01T00:00:00Z,9454,6062,25,50
FALSE,3,2018-08-01T00:00:00Z,18715,7132,50,75
FALSE,4,2018-08-01T00:00:00Z,24278,6690,75,100
FALSE,5,2018-08-01T00:00:00Z,19270,4680,100,125
FALSE,6,2018-08-01T00:00:00Z,16436,3516,125,150
FALSE,7,2018-08-01T00:00:00Z,14635,2566,150,175
FALSE,8,2018-08-01T00:00:00Z,15610,2441,175,200
FALSE,9,2018-08-01T00:00:00Z,9332,1420,200,225
FALSE,10,2018-08-01T00:00:00Z,17336,2787,225,Inf
TRUE,1,2018-08-01T00:00:00Z,153930,110745,0,25
TRUE,2,2018-08-01T00:00:00Z,53409,29855,25,50
TRUE,3,2018-08-01T00:00:00Z,8282,2728,50,75
TRUE,4,2018-08-01T00:00:00Z,1672,419,75,100
TRUE,5,2018-08-01T00:00:00Z,296,103,100,Inf
FALSE,1,2018-09-01T00:00:00Z,7855,7373,0,25
FALSE,2,2018-09-01T00:00:00Z,10490,6999,25,50
FALSE,3,2018-09-01T00:00:00Z,19872,7600,50,75
FALSE,4,2018-09-01T00:00:00Z,25085,7046,75,100
FALSE,5,2018-09-01T00:00:00Z,19868,4837,100,125
FALSE,6,2018-09-01T00:00:00Z,16800,3597,125,150
FALSE,7,2018-09-01T00:00:00Z,14939,2703,150,175
FALSE,8,2018-09-01T00:00:00Z,15831,2564,175,200
FALSE,9,2018-09-01T00:00:00Z,9466,1488,200,225
FALSE,10,2018-09-01T00:00:00Z,17129,2790,225,Inf
TRUE,1,2018-09-01T00:00:00Z,178942,130967,0,25
TRUE,2,2018-09-01T00:00:00Z,59673,33143,25,50
TRUE,3,2018-09-01T00:00:00Z,9300,2784,50,75
TRUE,4,2018-09-01T00:00:00Z,2033,411,75,100
TRUE,5,2018-09-01T00:00:00Z,347,79,100,Inf
FALSE,1,2018-10-01T00:00:00Z,7010,6589,0,25
FALSE,2,2018-10-01T00:00:00Z,10384,6896,25,50
FALSE,3,2018-10-01T00:00:00Z,20139,7942,50,75
FALSE,4,2018-10-01T00:00:00Z,25706,7328,75,100
FALSE,5,2018-10-01T00:00:00Z,20917,5118,100,125
FALSE,6,2018-10-01T00:00:00Z,17780,3918,125,150
FALSE,7,2018-10-01T00:00:00Z,15575,2911,150,175
FALSE,8,2018-10-01T00:00:00Z,16337,2713,175,200
FALSE,9,2018-10-01T00:00:00Z,9727,1582,200,225
FALSE,10,2018-10-01T00:00:00Z,17973,2991,225,Inf
TRUE,1,2018-10-01T00:00:00Z,177260,132014,0,25
TRUE,2,2018-10-01T00:00:00Z,62435,34391,25,50
TRUE,3,2018-10-01T00:00:00Z,10588,2980,50,75
TRUE,4,2018-10-01T00:00:00Z,2299,446,75,100
TRUE,5,2018-10-01T00:00:00Z,409,92,100,Inf
FALSE,1,2018-11-01T00:00:00Z,6777,6338,0,25
FALSE,2,2018-11-01T00:00:00Z,10542,7080,25,50
FALSE,3,2018-11-01T00:00:00Z,20272,8014,50,75
FALSE,4,2018-11-01T00:00:00Z,25259,7289,75,100
FALSE,5,2018-11-01T00:00:00Z,19476,4847,100,125
FALSE,6,2018-11-01T00:00:00Z,16985,3711,125,150
FALSE,7,2018-11-01T00:00:00Z,15218,2778,150,175
FALSE,8,2018-11-01T00:00:00Z,15825,2690,175,200
FALSE,9,2018-11-01T00:00:00Z,9530,1628,200,225
FALSE,10,2018-11-01T00:00:00Z,16788,2862,225,Inf
TRUE,1,2018-11-01T00:00:00Z,162123,124781,0,25
TRUE,2,2018-11-01T00:00:00Z,60117,33896,25,50
TRUE,3,2018-11-01T00:00:00Z,10162,3131,50,75
TRUE,4,2018-11-01T00:00:00Z,2098,385,75,100
TRUE,5,2018-11-01T00:00:00Z,310,64,100,Inf
FALSE,1,2018-12-01T00:00:00Z,6174,5778,0,25
FALSE,2,2018-12-01T00:00:00Z,9866,6784,25,50
FALSE,3,2018-12-01T00:00:00Z,18968,7700,50,75
FALSE,4,2018-12-01T00:00:00Z,23424,6897,75,100
FALSE,5,2018-12-01T00:00:00Z,18154,4602,100,125
FALSE,6,2018-12-01T00:00:00Z,16198,3692,125,150
FALSE,7,2018-12-01T00:00:00Z,14794,2830,150,175
