year,flag,receiver_type,emissions_co2_mt,n_distinct_ssvid
2022,BES,satellite,13082.117919150216,49
2022,COD,terrestrial,4622.160534705724,14
2016,MRT,terrestrial,13963.832670050859,22
2018,MOZ,terrestrial,7156.188379299728,38
2024,BTN,dynamic,16584.464551241377,89
2020,MMR,satellite,14195.583186798149,100
2019,NCL,satellite,17887.51676353715,114
2023,DZA,satellite,46339.125779042326,100
2021,BIH,dynamic,264.67365665448307,6
2021,NIC,terrestrial,4236.737088755102,10
2021,SEN,satellite,121631.35319563108,76
2019,GUY,satellite,10279.245062254777,14
2020,MDV,terrestrial,25168.168801391803,42
2020,HUN,satellite,174.86596381760936,8
2022,SSD,terrestrial,355.69635877289375,9
2024,KGZ,satellite,141.41501848417312,10
2023,USA,unknown,106.90538867497429,94
2021,MDV,terrestrial,24317.437037296557,45
2024,MDG,dynamic,2284.0643381782,33
2022,SLB,terrestrial,1141.753017025686,15
2021,COG,terrestrial,4597.7979275242915,17
2022,GEO,satellite,3762.71484711259,51
2022,CXR,terrestrial,304.7611924150865,11
2021,ATF,dynamic,1905.6508755098453,25
2023,MCO,terrestrial,104011.34591515915,162
2024,SUR,terrestrial,169.238820105896,6
2020,NER,terrestrial,1491.2309656068587,9
2022,SEN,dynamic,41058.10145862106,67
2020,BIH,terrestrial,2627.526727926753,14
2024,SEN,dynamic,82665.12059876998,77
2021,GUY,terrestrial,44687.33174145706,66
2016,MSR,terrestrial,7435.720361064471,11
2024,BEN,dynamic,3138.4004423364554,17
2023,CMR,terrestrial,212578.0523802786,420
2016,GBR,satellite,5437657.334022696,2784
2021,KGZ,terrestrial,3430.8565984796887,16
2017,YEM,terrestrial,6700.701187251655,21
2018,YEM,terrestrial,9592.178098385033,25
2024,BOL,terrestrial,3315.1129615643454,41
2022,MDV,terrestrial,27627.137963493937,39
2021,LBY,satellite,98133.58802643824,40
2016,GRL,terrestrial,35253.47460374972,42
2016,MMR,satellite,6352.809788025918,15
2021,SHN,satellite,5244.21061417082,10
2019,MDA,satellite,60487.23565319512,115
2024,BLR,dynamic,311.4247833133594,13
2023,SLE,unknown,3.415449442478039,27
2019,VIR,terrestrial,240.36671882520668,4
2021,DOM,dynamic,257.04614665778774,17
2021,TKM,dynamic,26.639365557527594,2
2018,KGZ,terrestrial,945.7759307283902,7
2020,ETH,terrestrial,40755.3138644685,13
2023,PRI,satellite,0.33087721364732964,1
2021,GLP,dynamic,1601.6070996200392,77
2024,NPL,terrestrial,4.813863042176304,2
2022,YEM,dynamic,6043.960390674467,24
2017,CUB,satellite,7985.079612557023,33
2017,LSO,terrestrial,4030.314874230234,17
2024,PSE,terrestrial,319.39762019692847,16
2024,BEN,satellite,2195.05286908162,15
2016,BIH,satellite,57.20116070620392,6
2024,BLR,terrestrial,279.1305352035655,6
2018,GUF,terrestrial,1600.9168434660837,13
2022,GRD,dynamic,2321.6082371224275,13
2022,TUN,terrestrial,118567.79007519588,124
2021,LBN,dynamic,3181.6290321872307,36
2024,SSD,terrestrial,277.9753870960055,5
2018,CZE,satellite,3191.799185870063,27
2024,MRT,dynamic,29109.189991129057,47
2018,FLK,terrestrial,19277.82796130102,31
2019,KOR,terrestrial,9021283.059753563,10354
2020,SSD,terrestrial,3038.223974520489,6
2022,BRN,dynamic,203007.75014536933,57
2024,ETH,satellite,22084.904508356387,10
2022,BLR,dynamic,166.05528825478683,9
2024,CRI,dynamic,4020.690042273219,27
2021,WSM,terrestrial,31709.70617314308,14
2018,BTN,terrestrial,12256.015370427594,98
2020,SYR,satellite,737.3320885983912,7
2019,MNP,satellite,211.09012279033988,8
2022,JEY,terrestrial,18719.376068585727,18
2018,MRT,terrestrial,6282.776982645042,27
2017,DNK,terrestrial,6929293.3396329805,3329
2018,GAB,satellite,19024.49406389576,11
2019,CRI,satellite,977.5453608733934,5
2020,SEN,satellite,116985.30717363938,84
2020,MCO,satellite,206.62443250302513,9
2024,VIR,dynamic,826.9513933679508,5
2024,ABW,dynamic,125.91210890227752,5
2021,HTI,dynamic,27.423963553541384,2
2016,PCN,terrestrial,21541.202152516507,29
2022,KEN,dynamic,1929.6761348796556,15
2024,TON,satellite,12001.964866041766,22
2021,NIS,terrestrial,105796.11324755999,18
2024,NOR,terrestrial,8233858.46455255,14686
2023,CHN,dynamic,81557570.93284644,139359
2020,BRA,terrestrial,1320624.6464025518,1564
2020,GBR,terrestrial,11106696.035690969,17718
2019,AFG,satellite,29.0157926287648,3
2023,MNG,unknown,0.9099909630548747,6
2024,NAM,satellite,261052.56213484568,161
2017,GNQ,terrestrial,19081.72965304783,56
2017,ANT,terrestrial,18391.977008280155,3
2020,GUY,satellite,4558.741963371495,12
2020,GIN,satellite,26991.316181924594,6
2022,MDV,satellite,15631.461888771964,29
2022,MYS,terrestrial,1386603.9969664337,2843
2023,GIN,dynamic,8588.1540039681,12
2024,AND,dynamic,22311.21438070353,156
2023,MOZ,terrestrial,9723.99479824779,28
2017,VGB,terrestrial,525252.9231758768,481
2022,TCD,satellite,28.512724417809338,2
2024,WLF,satellite,50153.65429587669,13
2018,PNG,satellite,180766.34997530346,111
2019,STP,satellite,2116.8498799019962,11
2023,DZA,unknown,1.4689863621704833,10
2023,COK,unknown,38.10983721674259,39
2023,HTI,terrestrial,661.965778577481,9
2022,ARG,dynamic,164243.87478505372,847
2016,GIN,terrestrial,6007.983131583588,10
2018,PCN,satellite,101.43554465229965,10
2023,MWI,terrestrial,164.11163449619033,11
2019,SJM,terrestrial,629.3169124544858,1
2019,AFG,terrestrial,2561.933970762739,22
2022,NGA,satellite,581414.161034187,816
2020,KEN,terrestrial,9456.812896272164,23
2016,PAK,terrestrial,85664.00487529433,16
2016,AZE,satellite,94.2678543231171,4
2016,GUY,satellite,1268.8180491162088,7
2017,MEX,satellite,656013.9001918209,532
2018,IDN,terrestrial,2621192.4515398922,3669
2024,TUN,dynamic,81490.89816217464,128
2021,KAZ,satellite,581.6059470428139,5
2024,CXR,dynamic,1907.1555927150282,8
2020,GAB,terrestrial,172204.98194444893,74
2016,GIN,satellite,3940.407081057403,5
2024,SMR,dynamic,197766.57703299966,247
2019,KAZ,terrestrial,940.6963677693415,9
2021,SLV,terrestrial,610.246516009075,7
2021,GNB,dynamic,1200.1367400623792,14
2019,LTU,terrestrial,321594.17803062533,148
2023,BGD,terrestrial,99839.54881050192,179
2023,BHS,satellite,16506953.171041649,1326
2019,GRD,satellite,770.0196997579169,2
2022,MKD,dynamic,144.22534659826383,9
2022,MAC,dynamic,27455.04044954807,75
2016,MDG,terrestrial,7092.049174036136,8
2024,TCA,terrestrial,384.30898653642106,8
2022,STP,satellite,5654.305192448138,22
2016,AGO,terrestrial,35702.32273023941,45
2018,AZE,satellite,1728.4981743507453,19
2024,MLI,terrestrial,28.082566144431574,1
2016,HTI,terrestrial,921.011845185938,4
2019,TKM,satellite,54.007753778853946,2
2023,GLP,terrestrial,44382.35090353942,178
2023,HRV,terrestrial,1309110.5551060445,1289
2021,LSO,terrestrial,132.48843975500793,5
2022,QAT,terrestrial,242848.19671869735,838
2016,IRL,terrestrial,501812.8844846608,642
2017,MEX,terrestrial,564246.9057684247,539
2023,LTU,terrestrial,164178.28778329096,191
2021,MNP,terrestrial,258.607471999332,7
2024,MLI,satellite,2.161221529296881,1
2021,LTU,dynamic,8859.535011955993,81
2023,UKR,unknown,0.4878349511431361,32
2024,TCD,dynamic,775.031131502809,6
2024,GGY,satellite,273.2433849314577,1
2024,ETH,terrestrial,11266.727325355416,11
2023,BIH,satellite,725.7943305779949,3
2019,NER,satellite,2329.734551052513,2
2018,DIS,terrestrial,14773.795338107086,3
2018,SAU,terrestrial,1302414.8505670496,1523
2019,COG,terrestrial,16200.219841504138,31
2019,MNP,terrestrial,1952.6575255050911,10
2018,TTO,terrestrial,85977.05689501003,64
2021,HUN,satellite,383.4499654055141,9
2017,AZE,satellite,918.3947031922817,12
2024,KAZ,dynamic,21746.608745772068,37
2024,BDI,dynamic,44.841199784768364,3
2024,MCO,satellite,6034.042022968835,146
2016,PLW,satellite,115329.79742429768,191
2023,BHS,dynamic,12819509.813109312,1443
2023,ARE,dynamic,916284.7182255375,772
2021,VIR,dynamic,8.128913776523326,1
2018,AND,terrestrial,263.9395506775511,10
2024,SWZ,terrestrial,14168.800334394835,59
2018,DEU,satellite,20705616.812081117,4734
2019,ATF,satellite,53551.392279646534,34
2016,OMN,satellite,19389.87813430531,48
2019,AIA,terrestrial,5373.001441526136,13
2016,FIN,terrestrial,2707852.7899372783,1117
2020,CYP,satellite,6458534.929648846,1025
2023,NAM,satellite,246786.38823344637,148
2016,CXR,terrestrial,1465.3216804133735,6
2017,CUW,terrestrial,607070.213675464,70
2020,MLI,terrestrial,319.61692056537737,3
2016,SUR,satellite,193.80620619478447,4
2021,WLF,satellite,30960.398381290088,10
2020,SRB,satellite,317.19052713246793,9
2020,NIS,satellite,42109.16256918995,14
2016,DIS,terrestrial,14224.375662347851,2
2016,SWE,terrestrial,5401926.385057448,5004
2020,GIN,terrestrial,6479.376592693522,9
2020,RUS,satellite,5871201.406787712,3295
2024,PRT,terrestrial,4139185.5361010907,2474
2023,MMR,satellite,38095.624277936724,213
2021,TON,dynamic,58.07833612979974,2
2021,GIN,satellite,33325.395582545665,7
2022,SLV,dynamic,1258.190577556844,7
2023,GMB,dynamic,9958.61695142242,26
2022,GUY,dynamic,58317.66003685588,83
2023,NAM,terrestrial,47458.21042206136,145
2019,GTM,satellite,6684.952124040864,9
2021,PRT,satellite,5984388.027808109,1528
2024,RWA,terrestrial,61.05653460155122,5
2017,WSM,satellite,5288.721042001925,7
2022,JPN,satellite,6354756.1610829625,7057
2017,CCK,terrestrial,154.4149557436946,2
2021,NGA,dynamic,20626.46537100747,562
2022,CRI,satellite,3074.0368614721874,7
2017,WSM,terrestrial,3195.4535587781015,11
2024,CXR,terrestrial,610.4092796707455,7
2019,PSE,satellite,35.99697526558928,3
2016,CCK,terrestrial,410.32582851788897,6
2023,CYP,dynamic,5187258.4003259875,1344
2021,AFG,satellite,1374.851680834139,3
2023,NIU,dynamic,84954.78797465401,112
2024,TKM,dynamic,1186.87119027132,15
2019,RUS,satellite,5515457.10458242,3269
2022,LIE,satellite,1077.551566995633,2
2023,ITA,unknown,887.4725291166133,1063
2024,THA,satellite,504564.7572374959,1046
2023,TON,satellite,11499.428831425312,8
2023,GBR,satellite,3892451.506093237,6206
2022,VIR,terrestrial,21.455104613729024,4
2023,SYR,unknown,0.003253480606762776,1
2021,ERI,terrestrial,1901.3923899258662,11
2016,LIE,terrestrial,193.59549698820308,4
2016,IND,satellite,1782049.775323174,1260
2016,UGA,terrestrial,742.5415967059549,1
2023,IRL,dynamic,183440.2296815504,1074
2019,TJK,terrestrial,1306.3277891353898,3
2017,ALB,terrestrial,63258.630346951926,205
2022,PRY,satellite,93024.6729168868,96
2016,SSD,terrestrial,2.261905091480776,2
2024,PRI,terrestrial,255.99914748947984,3
2022,PCN,terrestrial,1161.2205416674924,35
2021,MUS,terrestrial,75787.38943338853,158
2024,NA,terrestrial,2790893.242500292,21345
2016,BHR,terrestrial,367905.8085686987,688
2017,ITA,satellite,2555888.084786347,2119
2021,CZE,dynamic,585.8477599796289,32
2016,MNG,terrestrial,255092.27956022613,276
2019,SGP,terrestrial,20699910.66396148,5948
