year,lon_bin,lat_bin,emissions_co2_total_mt,emissions_ch4_total_mt,emissions_n2o_total_mt,emissions_nox_total_mt,emissions_sox_total_mt,emissions_co_total_mt,emissions_vocs_total_mt,emissions_pm2_5_total_mt,emissions_pm10_total_mt
2025,165,-26,3809.0637640128707,0.06730499901467556,0.20238704734814653,91.48263524857863,5.902874943731032,3.615986616954939,4.03904704582472,2.444950600152369,2.657555000165618
2025,156,-26,12970.886590012457,0.20426725523893643,0.6621153686521158,241.41688081988215,19.76078534659547,10.94663166685327,11.832903693660858,7.270587231379553,7.902762642803861
2025,154,-26,97976.13343159342,1.623068059717899,5.106650856452313,2062.3380816650965,150.99379905396626,86.89087899964481,97.03434292584231,58.464602356521425,63.548479952740706
2025,49,-26,192876.3721763562,3.214798091161014,10.109235855341135,4251.577728104725,295.06407797721005,173.92192070089183,195.50082789478114,118.02025651791745,128.28289404121466
2025,43,-26,21277.44118662103,0.29608911462138254,1.0686529391409287,356.81269259468564,32.544541544837486,16.11134701307372,17.12970246046956,10.903003160074451,11.851073000080925
2025,48,-26,214423.5109618242,3.5891321266423315,11.236796758542011,4726.045190832658,328.4076112685289,193.9310340140792,217.95308531523608,131.3434756388573,142.76460439006226
2025,47,-26,280092.55392803263,4.862544496417612,14.843667189394871,6344.155552311301,431.47017280023584,261.0140256216901,295.5098184176729,175.59265032165868,190.8615733931073
2025,-71,-26,8656.081639647502,0.11648971753883923,0.43163801657477363,134.87536942668788,13.369860944395775,6.394113524781873,6.359529276538524,4.346171162193336,4.724106915427539
2025,45,-26,34380.280922681704,0.5611620374604109,1.7769389700856035,710.9501052307035,53.16883967284438,30.20638571382321,33.3221602057052,20.250952238133326,22.011904606666658
2025,33,-26,44558.286891365235,0.7584593794614851,2.3160662067737428,836.0120608886523,68.75436676502545,38.99162618364004,43.25443299093548,25.49115434377045,27.707844721489614
2025,-46,-26,73467.11411821759,1.14956304635813,3.7692143096562827,1378.0445308369224,112.57242633907073,61.126630887396196,66.69962510638351,40.84793633746753,44.39992601898645
2025,34,-26,69885.53224212548,1.1812116697279076,3.6535934912740218,1467.960736813602,107.85715598055657,63.09793431318649,69.47536927271419,42.10929976256257,45.77096539408977
2025,-49,-26,730960.7551987625,7.277526851862776,35.09919975839745,7617.3059935114325,1131.1173490514002,409.0367219025245,364.39142131654796,285.38617260801493,310.2023676174075
2025,46,-26,139394.18696109712,2.3988932706507784,7.348529440801038,3102.9213900479745,215.45114763910445,128.6410712964313,144.59112267756132,86.32094256325185,93.82717800353461
2025,-72,-26,38401.43142455557,0.61655769795154,1.986294474500853,746.4780180981288,58.9521914323294,32.960121512217285,36.41524057257618,21.87603297898977,23.778274107597568
2025,42,-26,23055.186308152275,0.32812534767886276,1.162337306575415,401.239582889053,35.053188081488926,17.80696335474175,19.29009883359955,12.042746670567015,13.089935076703277
2025,153,-26,166979.53209785937,1.9911019526917815,8.129997502287024,2345.1189013873473,258.17456916883293,110.57055377561736,112.08701019274424,76.34367355529886,82.98221777749878
2025,-48,-26,162921.34352875157,2.904447628960403,8.499176962442691,3340.498028465945,251.5568962368481,150.4660675596716,168.4392138685826,97.0682050751477,105.50890725559535
