year,fishing,length_size_class_percentile,hours,hours_dark,kw_hours,kw_hours_dark,emissions_co2_mt,emissions_co2_mt_dark,distance_nm,distance_nm_dark,average_speed_knots,average_speed_knots_dark,avg_speed_knots
2018,TRUE,6,14263945.195277773,11389231.493547132,5248163714.332753,4658293027.152303,1226372.610378016,1033999.2480364091,18647852.47901415,19316250.654350203,1.3073418485362462,1.6960100130807185,4.948352403729493
2018,TRUE,3,2379936.601944445,1167134.7091614285,252845936.0823453,132520614.43154706,36621.63215028878,20020.937055304796,1554762.8957534777,867918.4272767402,0.6532791228485718,0.7436317508716098,3.2878030646106966
2020,FALSE,8,67272693.64441732,11275734.265001705,251421646514.58258,41814977291.137726,46690380.682243064,7577196.370223199,231628687.3746355,40160176.83641948,3.443130857803215,3.561646265562592,10.832800654486437
2024,TRUE,9,70151351.4222222,18018159.952801697,42803201616.045395,10711956033.404783,17539507.799397036,4093271.2772585526,115973037.36748613,33809277.30902002,1.6531832247888638,1.876400109532989,5.720356529428766
2016,FALSE,2,51395179.90805553,58857795.32007249,78548325516.40329,90843349236.79187,20646499.07686183,23994574.106026646,42110758.639203,52609824.826964594,0.8193522955759258,0.8938463382950206,6.097189806917037
2020,FALSE,7,58365036.12389391,12246255.205510141,174225152752.9743,33909130021.14233,24093417.438561298,4538610.329404793,150475631.92814705,29833731.693419352,2.5781810810281365,2.4361513942642494,9.1693334956997
2017,FALSE,2,63447881.468377344,75314057.92372054,97875083064.359375,121295121367.64581,26303037.166435156,31866673.430390615,52398017.88959823,68755864.16107158,0.825843458866528,0.9129220500999798,6.306566710083331
2016,TRUE,7,16633881.353611117,16496843.13572851,6628811307.836651,7282488770.882015,1839850.0546042717,1986361.559076694,28515497.53849955,29743080.318818115,1.7143020881478757,1.8029558791403664,5.277096822261506
2021,TRUE,4,11414403.369406821,5809343.205417247,2427269025.8059487,1472405676.6370962,479065.20872176834,300736.6191997893,8819456.339145355,6534952.791652371,0.7726603006499217,1.1249038937066913,4.0847124050458925
2021,TRUE,8,28238588.51298472,17904796.462889273,12913630933.854563,8380618588.50654,4023180.306813996,2533246.2510735276,49497794.30057505,34237940.63542414,1.752842365963684,1.9122217170347664,5.47600030902124
