fishing,lon_bin,lat_bin,avg_neighbor_ratio,within_footprint
TRUE,50,45,2.3972897333388192,FALSE
TRUE,-86,47,0.8194116900317787,FALSE
TRUE,-41,53,0.29189963722130774,FALSE
TRUE,-46,56,0.34763154142637154,FALSE
FALSE,-23,59,0.11781350758818028,FALSE
TRUE,-45,60,0.22760939626414892,FALSE
FALSE,-177,64,0.13176844968434212,FALSE
TRUE,-60,66,0.27187211185080995,FALSE
TRUE,-13,67,0.10920260324887923,FALSE
TRUE,144,40,2.4148394970694085,FALSE
FALSE,152,53,0.41670617829435275,FALSE
TRUE,163,49,1.7496009481993684,FALSE
FALSE,164,-76,0.24006744330618637,FALSE
TRUE,177,49,1.0716666947910498,FALSE
FALSE,168,48,0.2793687694006045,FALSE
TRUE,136,53,2.250968638648386,FALSE
FALSE,-14,57,0.14896953474029967,FALSE
TRUE,-69,62,0.7026549479847305,FALSE
TRUE,-162,67,0.5803721855491619,FALSE
TRUE,-11,69,0.10817817844127715,FALSE
FALSE,-165,46,0.18081190460718305,FALSE
TRUE,-170,49,0.5653002100943004,FALSE
FALSE,-20,56,0.13191301472782865,FALSE
FALSE,-172,43,0.19862739081234992,FALSE
TRUE,-147,42,0.865698111364508,FALSE
TRUE,-178,43,0.6613944161064209,FALSE
TRUE,-163,-79,0.6308200988064121,FALSE
TRUE,-141,-74,0.6207429634814507,FALSE
TRUE,-168,-73,0.6603143836544682,FALSE
TRUE,-92,-72,0.8520832319898021,FALSE
TRUE,-108,-71,0.8621582634871595,FALSE
FALSE,25,-70,0.18854762505214995,FALSE
FALSE,-38,-70,0.20263867235843785,FALSE
FALSE,-149,-74,0.2285378097570241,FALSE
TRUE,-93,-71,0.8616828382555207,FALSE
TRUE,-138,-72,0.6357771806316221,FALSE
FALSE,-159,-77,0.234533641260604,FALSE
TRUE,165,-75,0.6403027294372533,FALSE
FALSE,-135,44,0.20479675275616843,FALSE
FALSE,165,45,0.32132857557910893,FALSE
TRUE,-162,48,0.585704340493878,FALSE
FALSE,-58,48,0.1485281019771657,FALSE
FALSE,147,48,0.528105652608351,FALSE
TRUE,-79,51,1.0548940074189044,FALSE
TRUE,-50,55,0.5013163826892848,FALSE
FALSE,-55,59,0.10631015927487297,FALSE
FALSE,-53,63,0.10176170067213493,FALSE
FALSE,-35,65,0.10954176327403384,FALSE
TRUE,-64,68,0.23751449875825295,FALSE
TRUE,140,55,2.184972921930875,FALSE
TRUE,166,51,1.59424597977301,FALSE
TRUE,177,45,1.0619114719722802,FALSE
FALSE,-178,46,0.17711667495037636,FALSE
FALSE,-26,46,0.12617536154223685,FALSE
FALSE,-153,53,0.17588648795686895,FALSE
TRUE,-58,65,0.28131601773729165,FALSE
