year,vessel_class,registry_type,length_bin,emissions_co2_mt,distance_travelled_nm,vessel_hours,n_unique_vessels
2015,cargo.refrigerated,other_registry,200-225m,71459.9983,102938.748,8681.07,1
2015,cargo.refrigerated,other_registry,225m+,68999.9942,115289.747,8638.98389,1
2015,cargo.refrigerated,other_registry,25-50m,165.945039,2217.59732,612.671667,1
2015,cargo.refrigerated,other_registry,50-75m,7054.34951,57902.6973,13097.2,2
2015,cargo.refrigerated,other_registry,75-100m,42508.7577,205883.954,35320.0114,5
2015,cargo.ro_ro,imo,0-25m,3356.80863,26634.2064,7692.48861,8
2015,cargo.ro_ro,imo,100-125m,420570.986,1977740.95,369677.151,55
2015,cargo.ro_ro,imo,125-150m,1308189.99,5042298.93,688752.571,104
2015,cargo.ro_ro,imo,150-175m,3632379.8,11113040,1218135.43,165
2015,cargo.ro_ro,imo,175-200m,4821344.46,14461400.4,1387189.69,192
2015,cargo.ro_ro,imo,200-225m,6812299.02,20698161.9,1886170.72,256
2015,cargo.ro_ro,imo,225m+,3784639.77,9064755.99,775705.126,107
2015,cargo.ro_ro,imo,25-50m,150683.439,534792.149,257179.114,68
2015,cargo.ro_ro,imo,50-75m,515246.934,1793301.63,787912.459,193
2015,cargo.ro_ro,imo,75-100m,202513.053,771690.127,274156.499,70
2015,cargo.ro_ro,no_registry,0-25m,12365.9073,12599.2575,22492.8475,8
2015,cargo.ro_ro,no_registry,100-125m,68248.3507,229687.067,64814.7486,27
2015,cargo.ro_ro,no_registry,125-150m,287628.88,983462.548,137904.508,37
2015,cargo.ro_ro,no_registry,150-175m,470633.316,1246259.59,147018.532,30
2015,cargo.ro_ro,no_registry,175-200m,273223.828,493409.442,64302.2467,14
2015,cargo.ro_ro,no_registry,200-225m,320141.534,860507.41,83526.9211,16
2015,cargo.ro_ro,no_registry,225m+,341250.317,691856.031,65538.4944,12
2015,cargo.ro_ro,no_registry,25-50m,333935.663,678144.095,507463.582,201
2015,cargo.ro_ro,no_registry,50-75m,239418.769,605307.386,346974.838,183
2015,cargo.ro_ro,no_registry,75-100m,61732.4833,170450.135,86247.5531,45
2015,cargo.ro_ro,other_registry,0-25m,8362.34275,18128.1541,13610.4792,4
2015,cargo.ro_ro,other_registry,100-125m,186599.258,804776.348,154151.786,27
2015,cargo.ro_ro,other_registry,125-150m,655363.818,2388956.8,314226.493,44
2015,cargo.ro_ro,other_registry,150-175m,1753008.35,5201369.57,567819.504,79
2015,cargo.ro_ro,other_registry,175-200m,2268545.19,6606187.28,649668.549,91
2015,cargo.ro_ro,other_registry,200-225m,3200452.19,9793406.52,900432.528,123
2015,cargo.ro_ro,other_registry,225m+,1754117.88,4162153.26,369687.129,51
2015,cargo.ro_ro,other_registry,25-50m,104132.848,306945.734,168179.101,46
2015,cargo.ro_ro,other_registry,50-75m,276279.731,742085.618,417450.586,97
2015,cargo.ro_ro,other_registry,75-100m,116258.039,550301.968,157030.919,34
2015,container_reefer,imo,125-150m,498533.509,1426611.72,125973.386,17
2015,container_reefer,imo,150-175m,1712839.56,4392334.23,369515.656,46
2015,container_reefer,imo,175-200m,388227.673,865425.343,67441.9397,8
2015,container_reefer,imo,200-225m,64905.2058,117426.214,8710.62972,1
2015,container_reefer,other_registry,125-150m,173944.842,498149.688,50062.1503,7
2015,container_reefer,other_registry,150-175m,814506.242,2041586.34,175600.54,22
2015,container_reefer,other_registry,175-200m,203419.588,436650.89,32516.9111,4
2015,dive_vessel,imo,100-125m,86345.3786,239655.088,222954.272,32
2015,dive_vessel,imo,125-150m,26430.7038,68391.9225,38939.4928,7
2015,dive_vessel,imo,25-50m,7565.18113,16016.9733,48260.3528,7
2015,dive_vessel,imo,50-75m,25727.0078,87361.9696,114662.629,23
2015,dive_vessel,imo,75-100m,226184.135,783370.053,768783.082,138
2015,dive_vessel,no_registry,100-125m,3684.09254,13151.2504,7725.90722,1
2015,dive_vessel,no_registry,150-175m,8126.26838,19519.8797,14411.5225,2
2015,dive_vessel,no_registry,25-50m,1343.09006,2755.97122,7731.31778,1
2015,dive_vessel,no_registry,50-75m,1393.00618,2430.54276,8511.39583,2
2015,dive_vessel,no_registry,75-100m,13011.6645,39649.9871,42489.0047,8
2015,dive_vessel,other_registry,100-125m,38606.5915,118334.066,119837.678,20
2015,dive_vessel,other_registry,125-150m,9284.46655,21439.8621,31990.1747,4
2015,dive_vessel,other_registry,150-175m,14947.6464,38923.2336,15932.4381,3
2015,dive_vessel,other_registry,50-75m,15722.774,60009.9627,68127.6728,13
2015,dive_vessel,other_registry,75-100m,105686.441,327949.371,360235.473,62
2015,dredge_fishing,imo,0-25m,2306.7936,70014.6539,61185.5853,67
2015,dredge_fishing,imo,25-50m,56436.7857,212577.495,282501.106,52
2015,dredge_fishing,no_registry,0-25m,1423.14069,13916.4103,33299.7556,22
2015,dredge_fishing,no_registry,25-50m,20598.1391,87560.1213,101046.767,22
2015,dredge_fishing,other_registry,0-25m,765.395082,11983.2182,18127.5103,31
2015,dredge_fishing,other_registry,25-50m,59057.9257,207042.338,264049.877,43
2015,dredge_non_fishing,imo,0-25m,1694.4997,8969.42241,28264.5589,8
2015,dredge_non_fishing,imo,100-125m,214419.513,1133847.49,501135.074,83
2015,dredge_non_fishing,imo,125-150m,223955.033,760675.84,255612.386,41
2015,dredge_non_fishing,imo,150-175m,43686.2596,150059.251,66572.4722,10
2015,dredge_non_fishing,imo,175-200m,34814.304,71808.0103,27079.4694,4
2015,dredge_non_fishing,imo,200-225m,25681.2707,58914.1747,15791.3078,2
2015,dredge_non_fishing,imo,225m+,2021.7195,10676.2866,8604.78111,1
2015,dredge_non_fishing,imo,25-50m,51673.3967,223655.637,413254.643,76
2015,dredge_non_fishing,imo,50-75m,148681.185,794730.11,975417.902,206
2015,dredge_non_fishing,imo,75-100m,275514.991,1771403.19,953503.809,166
2015,dredge_non_fishing,no_registry,0-25m,4183.35067,19809.1894,42896.7503,17
2015,dredge_non_fishing,no_registry,100-125m,11705.6291,81224.623,58088.9758,21
2015,dredge_non_fishing,no_registry,125-150m,5079.61631,23702.3852,22128.3567,7
2015,dredge_non_fishing,no_registry,150-175m,614.248457,1184.87064,3829.85694,2
2015,dredge_non_fishing,no_registry,25-50m,88697.9584,306966.005,649605.757,208
2015,dredge_non_fishing,no_registry,50-75m,213763.188,777929.277,1478562.28,515
2015,dredge_non_fishing,no_registry,75-100m,85263.6586,217121.685,586280.105,165
2015,dredge_non_fishing,other_registry,0-25m,370.99241,328.350197,2798.44361,2
2015,dredge_non_fishing,other_registry,100-125m,74131.023,390549.129,191656.344,34
2015,dredge_non_fishing,other_registry,125-150m,65506.8267,278235.098,98507.6078,13
2015,dredge_non_fishing,other_registry,150-175m,68784.4461,216455.294,77128.6386,11
2015,dredge_non_fishing,other_registry,175-200m,3741.35522,9546.09973,8323.15444,1
2015,dredge_non_fishing,other_registry,200-225m,3337.0596,8045.98655,8463.15139,1
2015,dredge_non_fishing,other_registry,225m+,8008.99619,27535.6398,16496.5925,2
2015,dredge_non_fishing,other_registry,25-50m,40606.9563,188443.594,298810.599,54
2015,dredge_non_fishing,other_registry,50-75m,72470.265,396974.977,450554.375,90
2015,dredge_non_fishing,other_registry,75-100m,138627.296,853305.453,461745.956,79
2015,drifting_longlines,imo,0-25m,114798.803,3526195.14,1121399.85,505
2015,drifting_longlines,imo,100-125m,5226.82689,45198.0058,7770.60833,2
2015,drifting_longlines,imo,125-150m,2997.6106,45184.2242,7568.99278,1
2015,drifting_longlines,imo,150-175m,17039.35,369234.506,58113.2092,8
2015,drifting_longlines,imo,175-200m,3855.05661,84471.342,14803.2744,2
2015,drifting_longlines,imo,200-225m,2923.28766,51960.4437,11253.6744,2
2015,drifting_longlines,imo,225m+,1886.988,39583.2849,7779.93972,1
2015,drifting_longlines,imo,25-50m,356832.243,9104128.69,2219957.5,484
2015,drifting_longlines,imo,50-75m,407700.012,7430991.05,1557304.13,283
2015,drifting_longlines,imo,75-100m,772.613344,19441.2028,4799.64056,4
2015,drifting_longlines,no_registry,0-25m,35814.7147,765174.445,371278.758,750
2015,drifting_longlines,no_registry,25-50m,63087.9801,752831.578,264426.167,402
2015,drifting_longlines,no_registry,50-75m,14332.6385,154158.755,48624.5647,44
2015,drifting_longlines,other_registry,0-25m,50348.1412,1536282.99,488209.767,225
2015,drifting_longlines,other_registry,125-150m,1963.5583,40876.6675,7179.325,1
2015,drifting_longlines,other_registry,150-175m,1844.80521,43136.9684,6797.02861,1
2015,drifting_longlines,other_registry,200-225m,6056.06024,98133.9685,15929.9192,2
2015,drifting_longlines,other_registry,25-50m,197979.824,4658017.97,1140457.05,255
2015,drifting_longlines,other_registry,50-75m,179725.709,3211496.51,686253.58,129
2015,drifting_longlines,other_registry,75-100m,353.335643,6533.59364,2330.32167,3
2015,driftnets,imo,0-25m,48.2657358,986.542526,645.431944,3
2015,driftnets,imo,25-50m,1259.14739,22974.6819,9326.04028,10
2015,driftnets,imo,50-75m,209.628504,3210.37785,607.04,3
2015,driftnets,no_registry,0-25m,343728.464,4284670.16,2721135.23,3155
2015,driftnets,no_registry,100-125m,14.5857795,102.393933,45.4077778,1
2015,driftnets,no_registry,25-50m,663907.85,5768170.35,2921445.02,4428
2015,driftnets,no_registry,50-75m,29229.2149,178106.168,108461.132,278
2015,driftnets,no_registry,75-100m,3148.79737,18496.4787,11205.9064,39
2015,driftnets,other_registry,0-25m,125.464845,1812.56113,1880.75667,3
2015,driftnets,other_registry,25-50m,531.649839,6711.81558,3026.99639,7
2015,fish_factory,imo,125-150m,1699.87227,16596.4875,7944.57583,1
2015,other_fishing,imo,0-25m,0.450460483,10.2228777,11.2469444,1
2015,other_fishing,no_registry,0-25m,23.1856684,835.440098,405.936944,4
2015,other_fishing,no_registry,25-50m,266.195789,795.252524,805.724722,3
2015,other_not_fishing,imo,0-25m,2924.29169,2817.74527,16807.4831,6
2015,other_not_fishing,imo,100-125m,142732.128,235708.801,532632.298,102
2015,other_not_fishing,imo,125-150m,113980.777,197431.91,299807.329,52
2015,other_not_fishing,imo,150-175m,81136.5477,109328.445,108231.746,21
2015,other_not_fishing,imo,175-200m,25398.3277,40489.3561,53112.4825,9
2015,other_not_fishing,imo,200-225m,3082.37265,2770.24175,17800.8694,5
2015,other_not_fishing,imo,225m+,2069.9559,965.604308,11134.6106,2
2015,other_not_fishing,imo,25-50m,43343.2511,32134.9911,251271.119,59
2015,other_not_fishing,imo,50-75m,86813.3384,67207.0379,498213.143,117
2015,other_not_fishing,imo,75-100m,135120.102,135295.655,723200.439,152
2015,other_not_fishing,no_registry,0-25m,919.644502,213.365487,5474.61333,1
2015,other_not_fishing,no_registry,100-125m,22692.1588,15979.9383,124125.997,25
2015,other_not_fishing,no_registry,125-150m,4393.20307,1488.31959,25929.0522,6
2015,other_not_fishing,no_registry,150-175m,2901.36454,1590.84658,16548.4,4
2015,other_not_fishing,no_registry,175-200m,5256.68743,2080.19845,30747.0125,10
2015,other_not_fishing,no_registry,200-225m,7834.77509,469.545208,46634.1533,12
2015,other_not_fishing,no_registry,25-50m,21303.5507,8083.89615,124645.577,40
2015,other_not_fishing,no_registry,50-75m,73068.6266,56247.6217,421703.959,114
2015,other_not_fishing,no_registry,75-100m,63177.6055,48215.433,366429.332,101
2015,other_not_fishing,other_registry,0-25m,1305.005,2132.50434,7338.81472,2
2015,other_not_fishing,other_registry,100-125m,53379.9886,88279.0118,214779.332,37
2015,other_not_fishing,other_registry,125-150m,83157.1156,168346.604,136580.47,23
2015,other_not_fishing,other_registry,150-175m,14515.3269,25753.2579,15126.1981,3
2015,other_not_fishing,other_registry,175-200m,2441.30912,872.750847,14455.5153,3
2015,other_not_fishing,other_registry,200-225m,1503.65939,0.25239612,8766.3675,1
2015,other_not_fishing,other_registry,225m+,1522.70227,64.3335996,9078.815,2
2015,other_not_fishing,other_registry,25-50m,24255.7596,32539.566,137746.974,30
2015,other_not_fishing,other_registry,50-75m,49481.3035,55892.9205,274635.27,67
2015,other_not_fishing,other_registry,75-100m,88624.6344,111333.856,417949.441,82
2015,other_purse_seines,imo,0-25m,2231.04121,113897.158,44757.365,17
2015,other_purse_seines,imo,25-50m,13054.264,261995.735,88220.4114,31
2015,other_purse_seines,imo,50-75m,2866.65729,20278.415,4592.34194,2
2015,other_purse_seines,no_registry,25-50m,7873.14421,75708.6889,21421.3764,6
2015,other_purse_seines,other_registry,0-25m,643.141052,36648.5704,13717.8292,6
2015,other_purse_seines,other_registry,25-50m,10363.4239,149329.943,51985.0053,19
2015,other_purse_seines,other_registry,50-75m,505.343771,6792.66939,1823.72639,1
2015,other_seines,imo,0-25m,23582.0379,273292.984,494073.822,97
2015,other_seines,imo,25-50m,2737.42931,20256.7663,12798.4044,2
2015,other_seines,no_registry,0-25m,394.293706,2362.9862,6626.15056,1
2015,other_seines,other_registry,0-25m,12020.4152,149911.539,228864.789,52
2015,other_seines,other_registry,25-50m,1684.2512,12494.0418,13597.0606,2
2015,passenger,imo,0-25m,3137745.48,5739062.03,5820024.29,4701
2015,passenger,imo,100-125m,1843561.76,5543943.87,1083319.62,158
2015,passenger,imo,125-150m,1542975.72,3389588.34,488274.625,68
2015,passenger,imo,150-175m,2383153.14,4398804.64,487994.594,65
2015,passenger,imo,175-200m,1369224.38,2639290.21,272328.041,35
2015,passenger,imo,200-225m,819134.769,1322653.73,139657.865,18
2015,passenger,imo,225m+,7103908.2,6917533.24,652164.266,83
2015,passenger,imo,25-50m,5882043.34,16411914.7,8873640,2052
2015,passenger,imo,50-75m,3361557.25,10525316.7,4441806.84,768
2015,passenger,imo,75-100m,2016008.81,6617539.84,1914183.4,287
2015,passenger,no_registry,0-25m,27284984.2,43244641.6,51085411,46056
2015,passenger,no_registry,100-125m,418172.709,1171530.3,309230.894,71
2015,passenger,no_registry,125-150m,94918.6778,177397.886,55853.1492,18
2015,passenger,no_registry,150-175m,36216.1002,72713.2618,12075.1419,5
2015,passenger,no_registry,175-200m,16903.3224,8836.7321,9016.66,3
2015,passenger,no_registry,200-225m,63122.5437,87038.3238,9415.87722,4
2015,passenger,no_registry,25-50m,19251403.9,30339913.8,28707734.2,10559
2015,passenger,no_registry,50-75m,2491143.83,5062758.66,2950961.12,1064
2015,passenger,no_registry,75-100m,633611.226,1701640.89,615943.611,216
2015,passenger,other_registry,0-25m,1599762.37,3005079.85,2981214.62,2307
2015,passenger,other_registry,100-125m,711767.719,2272887.02,439721.477,67
2015,passenger,other_registry,125-150m,914687.57,2350414.29,324835.316,50
2015,passenger,other_registry,150-175m,779426.47,1320720.68,134868.946,17
2015,passenger,other_registry,175-200m,769112.523,1407387.93,140221.861,18
2015,passenger,other_registry,200-225m,185448.256,320956.839,31310.7903,5
2015,passenger,other_registry,225m+,2860483.22,2986576.37,285253.208,35
2015,passenger,other_registry,25-50m,3201111.27,9069225.91,4719995.1,1028
2015,passenger,other_registry,50-75m,1308994.72,3904209.09,1739891.74,295
2015,passenger,other_registry,75-100m,912894.133,2991487.2,786682.039,120
2015,patrol_vessel,imo,0-25m,6688.02508,38876.9896,42496.2044,20
2015,patrol_vessel,imo,100-125m,31446.0542,167536.016,62189.4322,22
2015,patrol_vessel,imo,125-150m,4654.14254,20436.2771,7431.685,3
2015,patrol_vessel,imo,150-175m,61.1196913,193.715902,209.391667,1
2015,patrol_vessel,imo,175-200m,11.3452472,36.1417087,76.8661111,1
2015,patrol_vessel,imo,25-50m,67274.5687,519608.565,388042.228,100
2015,patrol_vessel,imo,50-75m,60400.8517,465734.032,237661.708,83
2015,patrol_vessel,imo,75-100m,63391.2764,434975.179,168479.145,52
2015,patrol_vessel,no_registry,0-25m,92061.447,532476.407,555805.255,392
2015,patrol_vessel,no_registry,100-125m,90349.9107,487118.194,139868.657,134
2015,patrol_vessel,no_registry,125-150m,24672.9022,111027.473,25136.9042,20
2015,patrol_vessel,no_registry,150-175m,17673.791,71477.4409,14225.2486,11
2015,patrol_vessel,no_registry,25-50m,355805.692,2225995.26,2083913.49,888
2015,patrol_vessel,no_registry,50-75m,86710.8124,767460.997,307877.6,251
2015,patrol_vessel,no_registry,75-100m,77686.4109,628859.964,197321.929,171
2015,patrol_vessel,other_registry,0-25m,1709.47143,8849.55095,10845.8767,6
2015,patrol_vessel,other_registry,100-125m,10863.8316,49051.4771,21648.4625,8
2015,patrol_vessel,other_registry,125-150m,2216.10248,6239.03191,5075.07722,3
2015,patrol_vessel,other_registry,150-175m,3027.29879,5280.92053,764.263333,1
2015,patrol_vessel,other_registry,175-200m,240.516478,711.595189,945.489444,1
2015,patrol_vessel,other_registry,25-50m,26977.1891,189879.128,145941.005,37
2015,patrol_vessel,other_registry,50-75m,28017.5897,234801.119,128862.949,42
2015,patrol_vessel,other_registry,75-100m,21732.8883,116849.093,62335.2767,26
2015,pole_and_line,imo,0-25m,27908.6293,361421.503,438155.464,185
2015,pole_and_line,imo,25-50m,12949.1037,310377.779,111860.102,39
2015,pole_and_line,imo,50-75m,19891.5616,316110.322,54161.9086,8
2015,pole_and_line,no_registry,0-25m,12131.7756,66615.7249,67689.6006,81
2015,pole_and_line,no_registry,25-50m,2215.35836,26804.558,7207.65528,18
2015,pole_and_line,no_registry,50-75m,50.1423449,418.689203,145.833889,2
2015,pole_and_line,other_registry,0-25m,21015.556,157034.869,205226.566,86
2015,pole_and_line,other_registry,25-50m,10318.7667,249313.41,77889.7517,25
2015,pole_and_line,other_registry,50-75m,16408.2737,277843.341,49791.8003,7
2015,pots_and_traps,imo,0-25m,23163.2694,719198.556,779518.606,384
2015,pots_and_traps,imo,25-50m,26056.6076,447822.665,184430.426,41
2015,pots_and_traps,no_registry,0-25m,17169.5682,477008.98,513421.791,411
2015,pots_and_traps,no_registry,25-50m,18014.208,55697.8619,59806.7258,62
2015,pots_and_traps,other_registry,0-25m,11560.4664,394046.756,363758.353,180
2015,pots_and_traps,other_registry,25-50m,19723.1354,232410.165,105777.719,24
2015,research,imo,0-25m,952.243447,7127.85247,5087.71611,3
2015,research,imo,25-50m,10206.1138,86373.4846,50752.8844,10
2015,research,imo,50-75m,21859.5571,213786.287,74589.3783,11
2015,research,imo,75-100m,4000.34529,32572.7582,14910.0628,3
2015,research,no_registry,25-50m,4231.58682,32091.567,21411.0233,4
2015,research,no_registry,50-75m,4203.14257,17645.361,16765.9244,2
2015,research,other_registry,0-25m,200.196649,31601.7668,8131.87194,1
2015,research,other_registry,25-50m,7178.43292,38228.5282,45059.6725,6
2015,research,other_registry,50-75m,10304.3558,95475.2601,30834.8325,5
