imo,ship_name,mmsi,call_sign,consumption_value_1,consumption_speed_1,consumption_value_2,consumption_speed_2
9400356,ALSIA SWAN,248359000,9HA2334,11,12.5,NA,NA
9038854,WARRIOR KING,NA,NA,54,16,NA,NA
9295189,YUAN HUI HAI,413119000,BOCE,35,14,NA,NA
9288875,YUG,NA,NA,66.5,14.6,NA,NA
9456379,HONOUR,636014359,A8TH9,29,13,34,14
9727871,MAERSK GUAYAQUIL,477737800,VROS8,179.2,23.8,NA,NA
8705395,MEDITERRANEE,227187000,FNYF,113,24,NA,NA
8671922,JIA XIN,413356590,BHGT2,15.3,12.5,NA,NA
9477323,X-PRESS BARDSEY,636019617,A8VR3,97,21.7,NA,NA
9593012,SFL OTTAWA,538010185,V7A5726,60,15,NA,NA
8821943,CHONG MING,NA,VREM9,36.3,16,NA,NA
9738662,GOLDEN CREATION,374909000,H8IP,17,13.5,NA,NA
9580998,RF STELLA,256764000,9HA2925,23.5,14,NA,NA
7528831,ODODO,657410000,5NIZ5,16,12,27.5,15
9131149,S HAWK,NA,V4UN3,67.5,14.5,NA,NA
9334131,TIAN CHEN 1,413390670,BPCT9,13,12,16,13
9580376,RAIATEA,636022207,5LHR4,67,14.3,NA,NA
9301990,MSC ALDEBARAN III,636021529,D5YM3,105,22,NA,NA
9414333,PVT VENUS,373890000,H3YO,17.6,13.4,NA,NA
9146998,PIRI REIS,NA,3FLQ3,21.9,13.5,NA,NA
9425813,AETOLIA,314311000,8PWK,32.4,14,NA,NA
9473107,HARBOUR FOUNTAIN,255804470,CQKH,20,14,22,14.5
9299628,CMA CGM OTELLO,256804000,9HA5979,248,25.6,NA,NA
9471240,JOLLY DANUBE,636093190,5LIK2,36,14,NA,NA
9112131,HARCOURT,NA,V7BZ4,28,14.4,NA,NA
9276341,YASAR,352002186,3E4124,25,18.5,NA,NA
9612246,SEASTAR VICTORY,236112603,ZDRQ3,24,14,NA,NA
9484728,GHINAH,403638000,HZHL,66.5,14.6,NA,NA
9642588,LARUS,710001926,PV2345,18,12,NA,NA
9972555,SYMEON P,636022040,5LGW9,39.4,18.5,NA,NA
9701190,ARETI,538011138,V7A6640,27.5,14,30,14.5
9474266,SOLARIS,255915935,CQ2393,27.1,13.5,NA,NA
9469883,HYUNDAI MASAN,538004065,V7UY6,62,18,NA,NA
9322243,SITC QINZHOU,477112300,VRQZ4,27,17.5,31,18.6
