ssvid,flag,main_engine_power_kw,tonnage_gt,length_m,design_speed_betz_2011_knots,registries_listed,ship_name_registry,ship_name_ais,callsign_registry,callsign_ais,imo_registry,imo_ais,active_hours,on_fishing_list_best,vessel_class,vessel_class_source,avg_aux_boiler_power_berth_kw,avg_aux_boiler_power_anchored_kw,avg_aux_boiler_power_maneuvering_kw,avg_aux_boiler_power_sea_kw,avg_aux_engine_power_berth_kw,avg_aux_engine_power_anchored_kw,avg_aux_engine_power_maneuvering_kw,avg_aux_engine_power_sea_kw,main_engine_power_imo_table_81,design_speed_knots
538005024,DEU,12241.375,14278,155.6866455078125,16.9076926951305,IMO,RUTHBORCHARD,RUTHBORCHARD,V7AL8,V7AL8,9212034,9212034,78996.44117680333,FALSE,cargo.container,gfw_research.cargo_subtypes_v20241001,340,340,310,0,820,910,1750,900,12083,19
636018395,DEU,10514.2666015625,18334,174.7329559326172,16.36012931578979,IMO,PINARA,PINARA,A8RF9,A8RF9,9289063,9289063,23035.479829295273,FALSE,cargo.container,gfw_research.cargo_subtypes_v20241001,340,340,310,0,820,910,1750,900,12083,19
636019057,LBR,11679.68359375,19789.06640625,171.86827087402344,16.68131700279167,NA,NA,SKYSUNSHINE,NA,D5ST2,NA,9854492,29504.26952805555,FALSE,cargo.container,gfw_research.cargo_subtypes_v20241001,340,340,310,0,820,910,1750,900,12083,19
564684000,SGP,7075.90771484375,13764,187.46929931640625,15.357745314767778,IMO,SENTOSATRADER,SENTOSATRADER,9VYY3,9VYY3,9255529,9255529,19057.01027777779,FALSE,cargo.container,gfw_research.cargo_subtypes_v20241001,340,340,310,0,820,910,1750,900,12083,19
219539000,DNK,3097.16796875,7515,105.5749740600586,14.077766945610351,IMO,OLYMPUS,OLYMPUS,OXPL2,OXPL2,9310355,9310355,43108.3872222222,FALSE,tanker,gfw_research.vi_rf_ssvid_v20240501,887.5,191.1,177.5,21,344.35,398.75,537.5,429.35,3436.25,13.089
566409000,SGP,53403.69140625,128929,291.858154296875,14.927663997333163,IMO,APLSOUTHAMPTON,APLSOUTHAMPTON,9V9399,9V9399,9462017,9462017,74210.63320751998,FALSE,cargo.container,gfw_research.cargo_subtypes_v20241001,620,620,540,0,1150,1600,2900,1800,57901,23.9
477407900,HKG,42940.671875,112967,255.5925750732422,16.615698047479032,IMO,SEASPANTHAMES,SEASPANTHAMES,VRNA9,VRNA9,9630377,9630377,61490.62140558252,FALSE,cargo.container,gfw_research.cargo_subtypes_v20241001,620,620,540,0,1150,1600,2900,1800,57901,23.9
477424600,HKG,51231.203125,150853,291.3326110839844,12.351006051062157,IMO,CSCLMARS,CSCLMARS,VRJG2,VRJG2,9467287,9467287,82385.09565805556,FALSE,cargo.container,gfw_research.cargo_subtypes_v20241001,630,630,630,0,1300,1800,3250,2050,61231,23.8
671271100,TGO,15540,61653,244.6,16.89713977596,IMO;KOR,ELLA9,ELLA9,5VIA3,5VIA3,9246138,9246138,1647.9925000000003,FALSE,tanker,gfw_research.vi_rf_ssvid_v20240501,2469,330.8,313.8,147,925.6,772,1169,831.9,11184.23,14.928
370653000,PAN,11634.5107421875,47072,215.34292602539062,16.384934992564126,IMO,OCEANGAS,OCEANGAS,3ETS3,3ETS3,9388687,9388687,58532.80029495052,FALSE,tanker,gfw_research.vi_rf_ssvid_v20240501,2469,330.8,313.8,147,925.6,772,1169,831.9,11184.23,14.928
636019074,LBR,10819.830078125,57349.203125,232.80645751953125,16.13006908421352,NA,NA,NORDICBASEL,NA,D5SU8,NA,9407275,28451.100606058044,FALSE,tanker,gfw_research.vi_rf_ssvid_v20240501,2469,330.8,313.8,147,925.6,772,1169,831.9,11184.23,14.928
229132000,MLT,26008.48828125,160534,286.3453674316406,13.751437531814673,IMO,TEXAS,TEXAS,9HA3095,9HA3095,9623685,9623685,77666.18186781807,FALSE,tanker,gfw_research.vi_rf_ssvid_v20240501,4139,484.8,467.8,188,2498.6,1710.5,2080.5,1716.4,21236.71,15.691
258994000,NOR,26995.40625,157083,291.0829162597656,13.832793854035689,IMO,ECOLEADER,ECOLEADER,LAXE7,LAXE7,9734109,9734109,39272.71140778863,FALSE,tanker,gfw_research.vi_rf_ssvid_v20240501,4139,484.8,467.8,188,2498.6,1710.5,2080.5,1716.4,21236.71,15.691
229597000,MLT,14361.5,164169,221.3881072998047,14.864974387623,IMO,ZOURVA,ZOURVA,9HA3434,9HA3434,9679593,9679593,68993.71335803944,FALSE,tanker,gfw_research.vi_rf_ssvid_v20240501,4139,484.8,467.8,188,2498.6,1710.5,2080.5,1716.4,21236.71,15.691
477348100,HKG,5938.4482421875,12148,172.72018432617188,15.006628815828773,IMO,TIGERHARMONY,TIGERHARMONY,VRPN2,VRPN2,9725859,9725859,46759.182779702765,FALSE,tanker,gfw_research.vi_rf_ssvid_v20240501,1231.5,263.3,246.3,21,642.5,475.4,662.1,508.3,5203.49,13.755
372040000,PAN,7923.0703125,12105,187.6549835205078,15.613317549201328,IMO,ELMGALAXY,ELMGALAXY,3EHZ,3EHZ,9331256,9331256,65048.88176674362,FALSE,tanker,gfw_research.vi_rf_ssvid_v20240501,1231.5,263.3,246.3,21,642.5,475.4,662.1,508.3,5203.49,13.755
636020605,LBR,5049.7998046875,8621,130.6064910888672,14.707948727062412,IMO,DESNASTAR,DESNASTAR,D5CP7,D5CP7,9419199,9419199,15781.493901450833,FALSE,tanker,gfw_research.vi_rf_ssvid_v20240501,1112.5,236.1,222.5,21,486.1,455,546.5,481.1,4181.45,13.449
247698000,ITA,5537.2080078125,9914,143.0132598876953,14.869839151168957,IMO,SAPPHIRE,SAPPHIRE,IBOV,IBOV,9114969,9114969,52262.957500000004,FALSE,tanker,gfw_research.vi_rf_ssvid_v20240501,1112.5,236.1,222.5,21,486.1,455,546.5,481.1,4181.45,13.449
372195000,PAN,27021.75390625,118634,291.0829162597656,15.852165933728392,IMO,TAITAR3,TAITAR3,3FMD5,3FMD5,9403671,9403671,83258.28733888887,FALSE,tanker,gfw_research.vi_rf_ssvid_v20240501,3899,436.8,419.8,164,1818.6,878.5,1296.5,1060.4,20318.47,15.659
525401107,IDN,2722.872314453125,5685.603515625,103.81495666503906,13.932901671489887,NA,NA,GASESTELLA,NA,YDRI2,NA,9333137,10762.900589521942,FALSE,tanker,gfw_research.vi_rf_ssvid_v20240501,662.8,141.4,131.2,21,288.1,342.5,454.25,373.1,1951.22,12.468
538003228,MHL,2786.126953125,5034,102.61656188964844,13.944320831538445,IMO,OLVIA,OLVIA,V7PH5,V7PH5,9523469,9523469,17554.658333333333,FALSE,tanker,gfw_research.vi_rf_ssvid_v20240501,662.8,141.4,131.2,21,288.1,342.5,454.25,373.1,1951.22,12.468
403264000,SAU,1881.909912109375,4468,99.132232666015625,13.641018380102889,IMO,NBCO3,NBCO3,HZBH,HZBH,8002511,NA,8636.210555555557,FALSE,tanker,gfw_research.vi_rf_ssvid_v20240501,662.8,141.4,131.2,21,288.1,342.5,454.25,373.1,1951.22,12.468
259126000,NOR,472,124,23.9,13.092514756224,NOR2;NOR3,SOLNES,DAQINGKNUTSEN,LEAR,LANG8,NA,9914656,14208.941692499999,FALSE,tanker,gfw_research.vi_rf_ssvid_v20240501,662.8,141.4,131.2,21,23.6,23.6,23.6,23.6,1162.39,12.03
311067800,BHS,11388.005859375,80086,173.98143005371094,16.012425452577915,IMO,ATAULFOALVES,ATAULFOALVES,C6ZV9,C6ZV9,9183271,9183271,57399.73777777776,FALSE,tanker,gfw_research.vi_rf_ssvid_v20240501,3674,391.8,374.8,164,1818.6,878.5,1296.5,1060.4,15947.62,15.479
341762000,KNA,26819.01953125,98614.921875,291.0829162597656,16.89093496619633,NA,NA,ATALANTA,NA,V4XS4,NA,9319882,3252.9752777777767,FALSE,tanker,gfw_research.vi_rf_ssvid_v20240501,3674,391.8,374.8,164,1818.6,878.5,1296.5,1060.4,15947.62,15.479
239632000,GRC,26994.2421875,79832,291.0829162597656,17.889212514941626,IMO,NORTHSTAR,NORTHSTAR,SVDS,SVDS,9114593,9114593,13723.380555555555,FALSE,tanker,gfw_research.vi_rf_ssvid_v20240501,3674,391.8,374.8,164,1818.6,878.5,1296.5,1060.4,15947.62,15.479
309401000,BHS,11698.6005859375,84601,241.484130859375,16.00179921762821,IMO,SEACROSS,SEACROSS,C6UY2,C6UY2,9297890,9297890,83159.34133650112,FALSE,tanker,gfw_research.vi_rf_ssvid_v20240501,3674,391.8,374.8,164,1818.6,878.5,1296.5,1060.4,15947.62,15.479
224606000,ESP,26995.40625,90835,291.0829162597656,17.31156934208719,IMO;REV,BILBAOKNUTSEN,BILBAOKNUTSEN,ECER,ECER,9236432,9236432,92629.17912496143,FALSE,tanker,gfw_research.vi_rf_ssvid_v20240501,3674,391.8,374.8,164,1818.6,878.5,1296.5,1060.4,15947.62,15.479
538004034,MHL,10431.9140625,81341,209.21206665039062,15.889360730927578,IMO,COLORADO,COLORADO,V7UU7,V7UU7,9594767,9594767,78537.50592949086,FALSE,tanker,gfw_research.vi_rf_ssvid_v20240501,3674,391.8,374.8,164,1818.6,878.5,1296.5,1060.4,15947.62,15.479
636014469,LBR,25328.197265625,81347,291.0829162597656,17.61649045279192,IMO,MIKELAP,MIKELAP,A8UB7,A8UB7,9440382,9440382,49477.008611111116,FALSE,tanker,gfw_research.vi_rf_ssvid_v20240501,3674,391.8,374.8,164,1818.6,878.5,1296.5,1060.4,15947.62,15.479
538008232,MHL,9293.876953125,43027.91015625,200.29197692871094,15.909639521399312,NA,NA,ARISTODIMOS,NA,V7A2113,NA,9297369,22002.67342339251,FALSE,tanker,gfw_research.vi_rf_ssvid_v20240501,2131.5,312.8,295.8,147,844.6,704.5,1106,773.4,10517.33,14.928
413108000,CHN,10364.6162109375,40996,229.9248504638672,16.160331650952397,IMO,LIANSHUNHU,LIANSHUNHU,BOGJ,BOGJ,9308986,9308986,48692.6872222222,FALSE,tanker,gfw_research.vi_rf_ssvid_v20240501,2131.5,312.8,295.8,147,844.6,704.5,1106,773.4,10517.33,14.928
636012196,LBR,11519.8017578125,42058,270.7731018066406,16.411381863069362,IMO,PETALILADY,PETALILADY,A8DZ7,A8DZ7,9275402,9275402,65825.79022561223,FALSE,tanker,gfw_research.vi_rf_ssvid_v20240501,2131.5,312.8,295.8,147,844.6,704.5,1106,773.4,10517.33,14.928
235008050,GBR,9909.798828125,40514.09375,226.6220703125,16.06000392483969,NA,NA,ENERGYPIONEER,NA,MGHL8,NA,9281920,29841.426944444447,FALSE,tanker,gfw_research.vi_rf_ssvid_v20240501,2131.5,312.8,295.8,147,844.6,704.5,1106,773.4,10517.33,14.928
316011550,CAN,4581.07177734375,42810,136.63949584960938,14.866077230314598,CAN2;IMO,LAURENTIADESGAGNES,LAURENTIADESGAGNES,XJBQ,XJBQ,9334703,9334703,21164.267391054716,FALSE,tanker,gfw_research.vi_rf_ssvid_v20240501,2131.5,312.8,295.8,147,844.6,704.5,1106,773.4,10517.33,14.928
538002335,MHL,10754.28515625,41526,237.96646118164062,16.244397862686235,IMO,NOEMI,NOEMI,V7HY6,V7HY6,9286023,9286023,13642.543055555556,FALSE,tanker,gfw_research.vi_rf_ssvid_v20240501,2131.5,312.8,295.8,147,844.6,704.5,1106,773.4,10517.33,14.928
244113000,NLD,2042.0845947265625,1393,52.952911376953125,13.64443014904178,IMO,BOULDER,BOULDER,PHIQ,PHIQ,8516988,8516988,14766.016666666666,FALSE,tug,gfw_research.vi_rf_ssvid_v20240501,0,0,0,0,100,80,210,80,1086,11.9
210154000,CYP,1817.23876953125,2332.44970703125,69.16431427001953,13.584592645415723,NA,NA,STANDARDOLYMPUS,NA,5BBK4,NA,9703526,3064.6061111111107,FALSE,tug,gfw_research.vi_rf_ssvid_v20240501,0,0,0,0,100,80,210,80,1086,11.9
419001900,IND,2460.605712890625,867,40.291664123535156,13.776944874260186,IMO,HALANI4,HALANI4,VWBV,VWBV,8304933,8304933,20970.734722222223,FALSE,tug,gfw_research.vi_rf_ssvid_v20240501,0,0,0,0,100,80,210,80,1086,11.9
525015743,IDN,662.59197998046875,11810,30.197216033935547,13.387195051873832,IMO,CTPGOLDEN,NA,PNLU,NA,9159098,NA,3405.925858333334,FALSE,tug,gfw_research.vi_rf_ssvid_v20240501,0,0,0,0,100,80,210,80,1086,11.9
403740850,SAU,2315.386474609375,392.0782470703125,30.028594970703125,13.720860395645222,NA,NA,YATHREB2,NA,HZZJ,NA,9067702,14035.38393620028,FALSE,tug,gfw_research.vi_rf_ssvid_v20240501,0,0,0,0,100,80,210,80,1086,11.9
636014377,LBR,1176.977294921875,950.246337890625,40.3137321472168,13.346368398551688,NA,NA,HUAKUN,NA,A8TK6,NA,9513957,1804.9044444444448,FALSE,tug,gfw_research.vi_rf_ssvid_v20240501,0,0,0,0,100,80,210,80,1086,11.9
422270800,IRN,1387.3428955078125,2252.663330078125,56.88028335571289,13.440194686254738,NA,NA,NAJIROM9,NA,EPLY5,NA,9394612,7071.64053625139,FALSE,tug,gfw_research.vi_rf_ssvid_v20240501,0,0,0,0,100,80,210,80,1086,11.9
566225000,SGP,1505.9178466796875,499,42.89282989501953,13.449179155883352,IMO,BESPOWER,BESPOWER,9V8473,9V8473,9605657,9605657,45435.132958055554,FALSE,tug,gfw_research.vi_rf_ssvid_v20240501,0,0,0,0,100,80,210,80,1086,11.9
434112300,PAN,848.4290771484375,553,32.32403564453125,13.228225992084484,IMO,RONJA,RONJA,EZCI,EZCI,8210883,8210883,9637.864999999998,FALSE,tug,gfw_research.vi_rf_ssvid_v20240501,0,0,0,0,100,80,210,80,1086,11.9
273449380,RUS,3680,3981,91.2,14.22298079064,CORR2;IMO;NAFO;NEAFC;OWNER;REV;RUS,IOSIFSHMELKIN,IOSIFSHMELKIN,UGYL,UGYL,8917223,8917223,47740.14830277776,TRUE,trawlers,gfw_research.vi_rf_ssvid_v20240501,0,0,0,0,200,200,200,200,983,11.7
367574820,USA,925.94927978515625,443,38.48583221435547,13.252300979701317,IMO;USA2,RELENTLESS,NAVYRELENTLESS,WDG8179,WDG8179,8967553,8967553,11589.64438333333,FALSE,trawlers,gfw_research.vi_rf_ssvid_v20240501,0,0,0,0,200,200,200,200,983,11.7
563537000,SGP,2106.213623046875,4694,93.34584045410156,13.717865392193762,IMO,CRESTATHENA1,CRESTATHENA1,9V7606,9V7606,9673939,9673939,24426.921827500002,FALSE,dive_vessel,gfw_research.vi_rf_ssvid_v20240501,0,0,0,0,200,200,200,200,983,11.7
355683000,PAN,9695.115234375,38906,218.3119354248047,16.01923478808096,IMO,KALPANAPREM,KALPANAPREM,3FTK8,3FTK8,9212254,9212254,16108.90444444444,FALSE,cargo.bulk_carrier,gfw_research.cargo_subtypes_v20241001,260,260,240,0,240,400,1100,410,9748,14.4
636092407,LBR,10064.5478515625,42374.87109375,211.61590576171875,16.083946296225058,NA,NA,CONTIJADE,NA,D5BT9,NA,9476525,9040.310555555556,FALSE,cargo.bulk_carrier,gfw_research.cargo_subtypes_v20241001,260,260,240,0,240,400,1100,410,9748,14.4
209782000,CYP,12372.2197265625,44133,242.83447265625,16.576287776411174,IMO,PEGASUS,PEGASUS,5BNQ3,5BNQ3,9611242,9611242,80243.354995502,FALSE,cargo.bulk_carrier,gfw_research.cargo_subtypes_v20241001,260,260,240,0,240,400,1100,410,9748,14.4
351445000,PAN,16372.9921875,44043,276.7779846191406,17.450510046108143,IMO,AIANTAS,AIANTAS,HPYZ,HPYZ,9729879,9729879,70706.84957882168,FALSE,cargo.bulk_carrier,gfw_research.cargo_subtypes_v20241001,260,260,240,0,240,400,1100,410,9748,14.4
414275000,CHN,13025.07421875,37695,261.97454833984375,16.810051976679258,IMO,WEIQIN,WEIQIN,BLBL6,BLBL6,9176711,9176711,26820.366552541658,FALSE,cargo.bulk_carrier,gfw_research.cargo_subtypes_v20241001,260,260,240,0,240,400,1100,410,9748,14.4
432885000,JPN,14009.408203125,48040,220.16983032226562,16.867130958905157,IMO,CORONAINFINITY,CORONAINFINITY,7JNF,7JNF,9261932,9261932,63656.493512615576,FALSE,cargo.bulk_carrier,gfw_research.cargo_subtypes_v20241001,260,260,240,0,240,400,1100,410,9748,14.4
636019301,HKG,12062.6826171875,40492,236.3831787109375,16.550923966911164,IMO,SILVERDRAGON,MINOANGLORY,VRCA6,D5TW6,9364447,9364447,22530.965133333342,FALSE,cargo.bulk_carrier,gfw_research.cargo_subtypes_v20241001,260,260,240,0,240,400,1100,410,9748,14.4
414218000,CHN,9132.1640625,36559,233.7455596923828,15.89673594808261,IMO,BEILUNHAI28,BEILUNHAI28,BLBE7,BLBE7,9146015,9146015,52628.55417222223,FALSE,cargo.bulk_carrier,gfw_research.cargo_subtypes_v20241001,260,260,240,0,240,400,1100,410,9748,14.4
538010762,MHL,11316.6865234375,34001.42578125,212.87466430664062,16.44265110629542,NA,NA,CASDA,NA,V7A7391,NA,9802267,4194.542777777777,FALSE,cargo.bulk_carrier,gfw_research.cargo_subtypes_v20241001,260,260,240,0,240,400,1100,410,9748,14.4
431287000,JPN,11516.66015625,49721,231.75192260742188,16.33352284786629,IMO,CORONAUTILITY,CORONAUTILITY,7JWB,7JWB,9748021,9748021,62503.150998228004,FALSE,cargo.bulk_carrier,gfw_research.cargo_subtypes_v20241001,260,260,240,0,240,400,1100,410,9748,14.4
354056000,PAN,12621.8671875,48021,256.1659851074219,16.57977822245611,IMO,JPVERDURE,VERDUREWAVE,3FSW7,3FSW7,9310422,9310422,78141.73892371055,FALSE,cargo.bulk_carrier,gfw_research.cargo_subtypes_v20241001,260,260,240,0,240,400,1100,410,9748,14.4
370532000,PAN,15702.033203125,50933,255.9423828125,17.155639041995848,IMO,SUIKAI,SUIKAI,3ETD8,3ETD8,9374179,9374179,65480.14126285583,FALSE,cargo.bulk_carrier,gfw_research.cargo_subtypes_v20241001,260,260,240,0,240,400,1100,410,9748,14.4
357446000,PAN,9382.1826171875,38786,225.9965057373047,15.947040274683339,IMO,ELLY,ELLY,3FIZ9,3FIZ9,9164706,9164706,60625.777254350025,FALSE,cargo.bulk_carrier,gfw_research.cargo_subtypes_v20241001,260,260,240,0,240,400,1100,410,9748,14.4
538004473,MHL,10741.3642578125,39818,219.63595581054688,16.255055244986238,IMO,AMIRA,AMIRA,V7XG3,V7XG3,9216248,9216248,34703.466666666674,FALSE,cargo.bulk_carrier,gfw_research.cargo_subtypes_v20241001,260,260,240,0,240,400,1100,410,9748,14.4
563210500,SGP,5245.55126953125,38510.14453125,116.39873504638672,14.982692066515309,NA,NA,ORIENTVESTA,NA,9V9274,NA,9446506,1941.746666666667,FALSE,cargo.bulk_carrier,gfw_research.cargo_subtypes_v20241001,260,260,240,0,240,400,1100,410,9748,14.4
352039000,PAN,9240.5703125,43007,201.3809356689453,15.897937859165296,IMO,ORATORIO,ORATORIO,HOBR,HOBR,9687679,9687679,78499.83519002581,FALSE,cargo.bulk_carrier,gfw_research.cargo_subtypes_v20241001,260,260,240,0,240,400,1100,410,9748,14.4
414092000,CHN,14426.7099609375,40913,240.3305206298828,17.082255268897317,IMO,RUINING22,RUINING22,BFGO,BFGO,9619646,9619646,65359.39158787889,FALSE,cargo.bulk_carrier,gfw_research.cargo_subtypes_v20241001,260,260,240,0,240,400,1100,410,9748,14.4
352001748,PAN,3958.76025390625,4914.611328125,112.84638214111328,14.32438529991586,NA,NA,SKYTIME,NA,3E2586,NA,9155913,5115.561877499999,FALSE,cargo.general,gfw_research.cargo_subtypes_v20241001,110,110,100,0,240,130,490,180,3150,12.7
305964000,ATG,2742.831298828125,4102,117.377197265625,13.917203330588206,IMO,PAULAVINDO,PAULAVINDO,V2GJ7,V2GJ7,9436783,9436783,23021.2888888889,FALSE,cargo.general,gfw_research.cargo_subtypes_v20241001,110,110,100,0,240,130,490,180,3150,12.7
353447000,PAN,2636.156005859375,4911,121.18685913085938,13.893794119385355,IMO,VOLGA4002,VOLGA4002,3FDA6,3FDA6,8624292,8624292,1573.6947222222223,FALSE,cargo.general,gfw_research.cargo_subtypes_v20241001,110,110,100,0,240,130,490,180,3150,12.7
352630000,PAN,13227.357421875,92752,228.01425170898438,16.045108993977564,IMO,ORANGETIGER,ORANGETIGER,3FXI7,3FXI7,9446611,9446611,81922.26261877164,FALSE,cargo.bulk_carrier,gfw_research.cargo_subtypes_v20241001,260,260,240,0,240,400,1100,410,16741,14.5
636092981,LBR,18149.625,63986.6484375,277.39361572265625,17.274698748378288,NA,NA,BIRTEOLDENDORFF,NA,D5YK8,NA,9448047,16948.963740275558,FALSE,cargo.bulk_carrier,gfw_research.cargo_subtypes_v20241001,260,260,240,0,240,400,1100,410,16741,14.5
413346910,CHN,19678.30078125,56303.30078125,291.858154296875,17.77402004963622,NA,NA,ZHENENG5,NA,BTJH6,NA,9214109,9853.087560277776,FALSE,cargo.bulk_carrier,gfw_research.cargo_subtypes_v20241001,260,260,240,0,240,400,1100,410,16741,14.5
538010010,MHL,11627.9140625,66829.921875,241.959228515625,16.178586609418936,NA,NA,STARAQUA,NA,V7A5462,NA,9345805,13665.234033670833,FALSE,cargo.bulk_carrier,gfw_research.cargo_subtypes_v20241001,260,260,240,0,240,400,1100,410,16741,14.5
414435000,CHN,18584.5859375,58135.765625,291.06201171875,17.518138270639184,NA,NA,SHANGDEFU,NA,BTJI9,NA,9218260,22132.72145027777,FALSE,cargo.bulk_carrier,gfw_research.cargo_subtypes_v20241001,260,260,240,0,240,400,1100,410,16741,14.5
276672000,EST,4757.68017578125,36249,68.5974349975586,14.849681099876669,IMO,STAR,STAR,ESCJ,ESCJ,9364722,9364722,57214.55746666665,FALSE,passenger,gfw_research.vi_rf_ssvid_v20240501,496.66667,443.33333,413.33333,0,1990,1990,2656.66667,1990,18057.33333,19.26667
339300950,JAM,8495.23046875,9957,141.13027954101562,15.792120618096774,IMO,CFSPACENO,CFSPACENO,6YSO4,6YSO4,9403451,9403451,21076.20305555556,FALSE,cargo.container,gfw_research.cargo_subtypes_v20241001,250,250,240,0,370,450,790,410,5077,16
477915200,HKG,9085.111328125,9998,158.1260986328125,15.97584579036771,IMO,NEWMINGZHOU28,NEWMINGZHOU28,VRPI9,VRPI9,9757319,9757319,51431.38380555557,FALSE,cargo.container,gfw_research.cargo_subtypes_v20241001,250,250,240,0,370,450,790,410,5077,16
533018900,MYS,3832.7880859375,6543,119.81050109863281,14.301291400365088,IMO,PDZMAJU,PDZMAJU,9MHX7,9MHX7,9159270,9159270,25560.46027777778,FALSE,cargo.container,gfw_research.cargo_subtypes_v20241001,250,250,240,0,370,450,790,410,5077,16
255806370,ATG,9377.32421875,9983,173.0055694580078,16.06695812466926,IMO,EXPANSA,ELBSUN,V2QJ7,CQEF7,9429261,9429261,16603.75783138888,FALSE,cargo.container,gfw_research.cargo_subtypes_v20241001,250,250,240,0,370,450,790,410,5077,16
373503000,PAN,3382.244140625,4025,120.58753967285156,14.12583020710166,IMO,PLYUILAAM,PLYUILAAM,H3PQ,VP,8921664,8921664,25086.89716628444,FALSE,cargo.container,gfw_research.cargo_subtypes_v20241001,250,250,240,0,370,450,790,410,5077,16
457444175,MNG,658.4061279296875,4993,25.404212951660156,13.251584996801467,BUNKER;IMO,PROGRESS,PROGRESS,JVRW6,JVRW6,9116486,NA,449.19783888888907,FALSE,cargo.container,gfw_research.cargo_subtypes_v20241001,250,250,240,0,370,450,790,410,5077,16
645358000,MUS,3148.531005859375,5100,117.1,14.063023323694189,CARRIER;IMO,SIERRALAUREL,SIERRALAUREL,3BRW,3BRW,9163403,9163403,8805.02222222222,FALSE,cargo.refrigerated,gfw_research.cargo_subtypes_v20241001,270,270,270,0,1100,1200,1150,1200,3223,14.7
235012108,GBR,23534.001953125,61321,289.59918212890625,18.269982932518676,IMO,TORTUGAS,TORTUGAS,MVQH7,MVQH7,9319765,9319765,712.0130555555555,FALSE,cargo.container,gfw_research.cargo_subtypes_v20241001,590,580,550,0,1100,1400,2800,1450,52566,24.6
